===== PARAMETERS =====
Total rows : 1813
Reference system: Sol
Area of search : 250 ly
Gas types Class I gas giant +Class II gas giant +Class III gas giant +Class IV gas giant +Class V gas giant +Gas giant with ammonia-based life +Gas giant with water-based life +Hellium-rich gas giant
Ref star types : M (Red giant) Star + M (Red dwarf) Star + M (Red super giant) Star + T Tauri Star
==========
System name,Distance from Sol (ly),System stars count,System suitable stars count,Gas Body Name,Gas Body Surface Temperature (K),Gas Sub Type,Gas distance from arrival (ls),Gas has multiple stars ?,Gas star as orbit center ?,Gas orbit centers count,Gas orbital eccentricity,Gas semi major axis (ls),Gas semi minor axis (ls),Ref Star Name,Ref Star Sub Type,Ref Star Temp Class,Ref Star Distance from arrival (ls),Ref Star Radius,Ref Star Luminosity,Ref Star Age,Ref Star Temperature,Biggest Suitable Star Radius,Cold Stars Count,Coldest star temp,Cold Stars Luminosities,Has T Tauri Star ?,8th Moon Name,8th Moon Distance from arrival (ls),8th Moon Sub Type,8th Moon Surface Temperature (K),8th Moon Radius
HIP 100035,193.67,4,2,HIP 100035 ABCD 1,664,Class III gas giant,5359.8418,true,false,0,0.0051,4908.6622845,4908.598446931884,HIP 100035 D,M (Red dwarf) Star,9,2180.2026,0.342,Va,2496,2298,0.5848,1,2298,-Va-,false,HIP 100035 ABCD 1 g a,5348.252,Rocky body,164,610.5766
Milceni,105.48,3,2,Milceni A 9,649,Class III gas giant,3162.8188,false,true,2,0.0232,3117.4339365,3116.5948597576457,Milceni C,M (Red dwarf) Star,8,450903.7812,0.4172,Va,924,2449,0.5173,1,2449,-Va-,false,Milceni A 9 h,3134.3562,Icy body,88,4306.0732
Zelada,83.29,1,1,Zelada 10,645,Class III gas giant,2186.2981,false,true,2,0.119,0.8483084999999999,0.8422806354290355,Zelada,M (Red dwarf) Star,3,0,0.5938,V,2968,3344,0.5938,0,,-,false,Zelada 10 h,2208.981,Icy body,150,4105.8213
Eotienses,115.38,3,1,Eotienses ABC 1,644,Class III gas giant,1890.73,true,false,1,0.0002,2134.4938875,2134.4938448101216,Eotienses A,M (Red dwarf) Star,5,0,0.5431,Va,368,3065,0.5431,0,,-,false,Eotienses ABC 1 h,1832.6603,Icy body,60,5403.1611
Uram,70.33,2,1,Uram A 2,642,Class III gas giant,1043.2306,false,true,2,0.0092,1040.625027,1040.5809868169472,Uram B,M (Red dwarf) Star,6,90236.1797,0.4418,Va,7144,2709,0.4418,0,,-,false,Uram A 2 h,1049.0564,Rocky body,170,801.8766
HIP 117965,198.64,4,2,HIP 117965 ABCD 2,640,Class III gas giant,4722.749,true,false,2,0.0502,112.675329,112.53326627455812,HIP 117965 C,M (Red dwarf) Star,5,1980.8337,0.5508,Va,1016,3024,0.5508,0,,-,false,HIP 117965 ABCD 2 f,4736.2949,Icy body,82,3454.541
HIP 31332,152.77,2,1,HIP 31332 AB 1,638,Class III gas giant,1726.1025,true,false,1,0,1673.3134665,1673.3134665,HIP 31332 B,M (Red dwarf) Star,4,1034.9854,0.5291,Va,3400,3188,0.5291,0,,-,false,HIP 31332 AB 1 f a,1741.3173,Rocky body,217,445.5342
Antliae Sector IR-W c1-28,195.44,1,1,Antliae Sector IR-W c1-28 16,635,Class III gas giant,2154,false,false,0,0.0003,2154.3542865,2154.354189554055,Antliae Sector IR-W c1-28,M (Red dwarf) Star,3,0,0.5586,Va,268,3260,0.5586,0,,-,false,Antliae Sector IR-W c1-28 16 g,2139,Icy body,84,4590.5327
HIP 13059,229.87,3,1,HIP 13059 A 6,632,Class III gas giant,1710.8882,false,true,2,0.0028,1711.8366525,1711.8299420871697,HIP 13059 B,M (Red dwarf) Star,5,165928.7656,0.4872,Va,3208,3086,0.4872,0,,-,false,HIP 13059 A 6 h,1739.9242,Icy body,106,4497.7544
HIP 108282,182.43,4,1,HIP 108282 ABC 7,627,Class III gas giant,3801.7588,true,false,2,0.1642,5.4391545,5.365329224502164,HIP 108282 B,M (Red dwarf) Star,9,4.2853,0.3746,Va,5662,2256,0.3746,1,2256,-Va-,false,HIP 108282 ABC 7 f,3780.9487,Icy body,82,3674.1042
LHS 277,53.11,1,1,LHS 277 5,627,Class III gas giant,2211.5781,false,true,1,0.0065,2221.869663,2221.8227255075867,LHS 277,M (Red dwarf) Star,2,0,0.5996,V,3242,3427,0.5996,0,,-,false,LHS 277 5 h,2189.5774,Icy body,43,5091.4375
Mirdhing,117.57,5,2,Mirdhing ABCDE 1,619,Class III gas giant,4547.8833,true,false,1,0,6834.5221815,6834.5221815,Mirdhing B,M (Red dwarf) Star,5,806.816,0.4283,Va,2252,2822,0.4283,1,2297,-Va-,false,Mirdhing ABCDE 1 h,4620.1001,Icy body,95,2445.7
HIP 64203,161.12,3,1,HIP 64203 AB 4,615,Class III gas giant,2620.9182,true,false,2,0.1282,2.1457215,2.1280157250254526,HIP 64203 B,M (Red dwarf) Star,5,324.781,0.4986,Va,5990,2868,0.4986,0,,-,false,HIP 64203 AB 4 g,2602.5486,Icy body,92,4372.3105
HIP 91644,130.99,1,1,HIP 91644 2,613,Class III gas giant,1914.2103,false,true,1,0.0005,1913.783976,1913.783736776988,HIP 91644,M (Red dwarf) Star,2,0,0.5834,V,4344,3416,0.5834,0,,-,false,HIP 91644 2 g,1909.958,Icy body,68,5384.2227
HIP 1274,211.53,5,1,HIP 1274 A 6,610,Class III gas giant,4373.2803,false,false,0,0.1036,3.2435324999999997,3.226079189950896,HIP 1274 C,M (Red dwarf) Star,9,369710.6562,0.3457,VI,2354,2096,0.3457,1,2096,-VI-,false,HIP 1274 A 6 g,4386.979,Rocky body,128,1364.9196
Horagalles,63.68,3,1,Horagalles AB 5,610,Class III gas giant,4265.5269,true,false,1,0.0003,4369.6370835,4369.636886866327,Horagalles B,M (Red dwarf) Star,5,563.7134,0.5824,Va,8208,3093,0.5824,0,,-,false,Horagalles AB 5 g,4283.4961,Icy body,80,2471.9294
Col 285 Sector IK-I b25-2,228.73,1,1,Col 285 Sector IK-I b25-2 9,605,Class III gas giant,1519.9449,false,true,1,0.0006,1520.468235,1520.4679613156932,Col 285 Sector IK-I b25-2,M (Red dwarf) Star,3,0,0.6041,Va,646,3365,0.6041,0,,-,false,Col 285 Sector IK-I b25-2 9 g,1527.7413,Icy body,99,3698.8152
CPD-28 332,28.44,3,2,CPD-28 332 ABC 1,605,Class III gas giant,2715.9204,true,false,1,0.0003,2373.068178,2373.0680712119292,CPD-28 332 C,M (Red dwarf) Star,9,1041.327,0.3746,Va,5390,2254,0.5761,1,2254,-Va-,false,CPD-28 332 ABC 1 h,2698.7681,Icy body,162,4141.0483
Asletae,162.28,2,1,Asletae AB 1,596,Class III gas giant,1349.0166,true,false,1,0,1507.1448015,1507.1448015,Asletae A,M (Red dwarf) Star,2,0,0.5321,Va,6442,3528,0.5321,0,,-,false,Asletae AB 1 g,1359.8062,Icy body,78,3649.7783
NLTT 9032,104.82,2,1,NLTT 9032 AB 4,591,Class III gas giant,3735.4717,true,false,1,0.0216,3789.0946665,3788.2106433717113,NLTT 9032 A,M (Red dwarf) Star,2,0,0.619,V,1376,3563,0.619,0,,-,false,NLTT 9032 AB 4 g,3777.3782,Icy body,43,2525.2913
HIP 64901,248.23,2,1,HIP 64901 AB 1,590,Class III gas giant,4346.2153,true,false,2,0.1636,4.7405475,4.676676946108786,HIP 64901 B,M (Red dwarf) Star,2,1355.2343,0.6062,Va,2008,3408,0.6062,0,,-,false,HIP 64901 AB 1 g,4376.0542,Rocky body,184,1357.4656
Caleket,185.45,1,1,Caleket 2,587,Class III gas giant,2028.5343,false,true,1,0.0007,2027.7068175000002,2027.706320711769,Caleket,M (Red dwarf) Star,3,0,0.6057,Va,1468,3311,0.6057,0,,-,false,Caleket 2 h,2056.7834,Icy body,74,2022.4285
Alpha Caeli,65.79,3,1,Alpha Caeli A 7,583,Class III gas giant,1995.7992,false,true,2,0.0035,1988.9840295,1988.97184693551,Gl 174.1 B,M (Red dwarf) Star,8,14346.458,0.4434,V,10354,2492,0.4434,1,2492,-V-,false,Alpha Caeli A 7 h,2003.6544,Rocky body,235,1417.8903
LTT 15449,72.48,3,1,LTT 15449 AB 2,582,Class III gas giant,3275.9119,true,false,1,0.0052,3085.547517,3085.505800115562,LTT 15449 A,M (Red dwarf) Star,3,0,0.5831,V,4276,3327,0.5831,0,,-,false,LTT 15449 AB 2 g a,3233.158,Icy body,60,1268.5891
Col 285 Sector XF-E c12-15,173.32,3,1,Col 285 Sector XF-E c12-15 ABC 4,581,Class III gas giant,3264.6768,true,false,1,0.0028,3289.0417559999996,3289.0288629310458,Col 285 Sector XF-E c12-15 C,M (Red dwarf) Star,5,154.1145,0.4909,Va,2858,3027,0.4909,0,,-,false,Col 285 Sector XF-E c12-15 ABC 4 h,3267.8496,Icy body,108,1450.7642
HIP 117965,198.64,4,2,HIP 117965 ABCD 1,579,Class III gas giant,4104.1528,true,false,1,0.0005,3545.430525,3545.430081821157,HIP 117965 C,M (Red dwarf) Star,5,1980.8337,0.5508,Va,1016,3024,0.5508,0,,-,false,HIP 117965 ABCD 1 f,4116.3247,Icy body,74,3191.1511
HIP 794,180.40,2,1,HIP 794 A 4,579,Class III gas giant,2333.1233,false,false,0,0.1788,0.299403,0.2945782525377796,HIP 794 B,M (Red dwarf) Star,4,50356.7461,0.5911,Va,10128,3190,0.5911,0,,-,false,HIP 794 A 4 g,2328.1311,Rocky body,161,1526.2858
Mombaluma,33.06,3,2,Mombaluma ABC 3,578,Class III gas giant,1558.6699,true,false,1,0.0001,1570.0194315,1570.0194236499028,Mombaluma C,M (Red dwarf) Star,5,134.8864,0.4786,Va,2094,2897,0.4786,0,,-,false,Mombaluma ABC 3 h,1590.306,Icy body,99,1943.9396
HIP 16891,217.77,3,1,HIP 16891 AB 3,572,Class III gas giant,3709.7959,true,false,1,0.071,3847.4782515,3837.76843030451,HIP 16891 B,M (Red dwarf) Star,4,952.6228,0.5088,Va,4304,3222,0.5088,0,,-,false,HIP 16891 AB 3 h,3750.3506,Icy body,110,2375.3779
Col 285 Sector KV-R b19-2,218.08,1,1,Col 285 Sector KV-R b19-2 2,569,Class III gas giant,4167.0029,false,true,1,0.0006,4167.490158,4167.489407851704,Col 285 Sector KV-R b19-2,M (Red dwarf) Star,2,0,0.5411,Va,7660,3490,0.5411,0,,-,false,Col 285 Sector KV-R b19-2 2 h,4178.7944,Icy body,59,2717.6609
HIP 37170,128.23,4,2,HIP 37170 A 3,567,Class III gas giant,3366.3926,false,true,2,0.0001,3366.5372325,3366.537215667314,HIP 37170 D,M (Red dwarf) Star,4,44513.4062,0.5718,Va,2352,3247,0.5718,1,2363,-Va-,false,HIP 37170 A 3 h,3392.1462,Rocky body,162,924.3596
LHS 3097,103.69,2,1,LHS 3097 AB 2,565,Class III gas giant,763.6562,true,false,1,0.0001,718.167996,718.16799240916,LHS 3097 B,M (Red dwarf) Star,6,279.8684,0.4402,Va,9608,2619,0.4402,0,,-,false,LHS 3097 AB 2 h,758.9345,Rocky Ice world,117,650.3123
Apurusia,173.40,3,1,Apurusia AB 1,561,Class III gas giant,1502.7755,true,false,1,0.1431,1701.4573484999999,1683.946348944835,Apurusia B,M (Red dwarf) Star,5,698.285,0.5598,Va,8010,3017,0.5598,0,,-,false,Apurusia AB 1 h,1508.1884,Icy body,107,2885.9177
HR 8718,127.29,2,1,HR 8718 AB 3,556,Class III gas giant,5123.626,true,false,1,0.0009,4775.4279495,4775.4260154512895,HR 8718 B,M (Red dwarf) Star,3,1598.3691,0.6423,Va,2552,3350,0.6423,0,,-,false,HR 8718 AB 3 h,5200.3354,Rocky body,132,1553.3512
LP 564-39,75.83,2,1,LP 564-39 7,555,Class III gas giant,1767.5004,false,true,1,0.004,1773.6134715,1773.5992825354717,LP 564-39,M (Red dwarf) Star,2,0,0.5885,V,1534,3435,0.5885,0,,-,false,LP 564-39 7 h,1758.0034,Icy body,89,2768.8633
Col 285 Sector ZU-L b22-6,242.46,1,1,Col 285 Sector ZU-L b22-6 9,553,Class III gas giant,1925.6455,false,false,0,0.0014,1923.6642749999999,1923.6623898080866,Col 285 Sector ZU-L b22-6,M (Red dwarf) Star,3,0,0.5133,Va,1214,3302,0.5133,0,,-,false,Col 285 Sector ZU-L b22-6 9 h,1936.8602,Icy body,79,2378.3328
Chiburri,157.60,2,1,Chiburri AB 2,551,Class III gas giant,1880.2672,true,false,1,0.0026,1739.3318279999999,1739.3259490484859,Chiburri B,M (Red dwarf) Star,9,587.8821,0.4482,Va,6510,2345,0.4482,1,2345,-Va-,false,Chiburri AB 2 h,1904.7358,Rocky body,126,1583.8278
Tiapalan,33.10,6,2,Tiapalan ABC 7,541,Class III gas giant,3263.7446,true,false,1,0.0647,3532.256793,3524.855867222776,Tiapalan C,M (Red dwarf) Star,6,426.6219,0.5355,Va,7330,2726,0.5355,0,,-,false,Tiapalan ABC 7 g,3345.0789,Icy body,121,1886.6541
Ross 752,159.27,2,2,Ross 752 AB 1,537,Class III gas giant,1429.1127,true,false,1,0.0006,1345.1677785,1345.167536369778,Ross 752 B,M (Red dwarf) Star,7,731.8516,0.5066,Va,11886,2536,0.6802,0,,-,false,Ross 752 AB 1 h,1431.632,Icy body,102,1982.6155
LTT 15461,90.09,4,2,LTT 15461 AB 1,533,Class III gas giant,2218.5959,true,false,3,0.1927,0.44910449999999996,0.4406872570115776,LTT 15461 B,M (Red dwarf) Star,2,1166.3151,0.5562,Va,9638,3439,0.5562,0,,-,false,LTT 15461 AB 1 f a,2208.2854,Rocky body,127,723.4931
Col 285 Sector GM-V d2-78,223.76,3,2,Col 285 Sector GM-V d2-78 AB 3,530,Class III gas giant,3212.9163,true,false,0,0.0548,3051.2159730000003,3046.631066439645,Col 285 Sector GM-V d2-78 B,M (Red dwarf) Star,2,622.8789,0.6071,Va,1396,3460,0.6071,1,2331,-Va-,false,Col 285 Sector GM-V d2-78 AB 3 g,3213.0332,Rocky body,167,1249.5809
Tyche,58.24,1,1,Tyche 8,523,Class III gas giant,1845.826,false,true,2,0.0964,69.31179449999999,68.98898692313787,Tyche,M (Red dwarf) Star,2,0,0.5964,V,778,3463,0.5964,0,,-,false,Tyche 8 f a,1835.9821,Icy body,100,823.6132
