System name,Distance from Sol (ly),System stars count,System suitable stars count,Gas Body Name,Gas Body Surface Temperature (K),Gas Sub Type,Gas distance from arrival (ls),Gas has multiple stars ?,Gas star as orbit center ?,Gas orbit centers count,Gas orbital eccentricity,Gas semi major axis (ls),Gas semi minor axis (ls),Ref Star Name,Ref Star Sub Type,Ref Star Temp Class,Ref Star Distance from arrival (ls),Ref Star Radius,Ref Star Luminosity,Ref Star Age,Ref Star Temperature,Biggest Suitable Star Radius,8th Moon Name,8th Moon Distance from arrival (ls),8th Moon Sub Type,8th Moon Surface Temperature (K),8th Moon Radius,Star Types,Is populated,Has M or TT Star ?,Coldest M or TT Star temp.,Coldest M or TT Star lum.,Has Toroid Station
Nox,76.84,5,5,Nox ABCD 6,1018,T (Brown dwarf) Star,2913,true,false,1,0.0043,2807.5518315,2807.525875563336,Nox ABCD 6,T (Brown dwarf) Star,9,2913,0.1772,V,12910,1018,0.9717,Nox ABCD 6 h,2964,Rocky body,154,2468.3894,-K (Yellow-Orange) Star-L (Brown dwarf) Star-G (White-Yellow) Star-M (Red dwarf) Star-T (Brown dwarf) Star-,1,true,2262,Va,false
Goibniugo,148.21,1,1,Goibniugo 7,1011,Class IV gas giant,2182,false,true,1,0.0002,2181.450258,2181.450214370994,Goibniugo,F (White) Star,0,0,1.244,Vab,4988,6245,1.244,Goibniugo 7 h,2183,Rocky body,194,1464.0696,-F (White) Star-,1,false,,,false
14 i Orionis,193.70,1,1,14 i Orionis 3,1005,Class IV gas giant,637,false,true,1,0.0009,637.229385,637.2291269220467,14 i Orionis,A (Blue-White) Star,0,0,1.4236,V,1654,8031,1.4236,14 i Orionis 3 h,637,Rocky body,509,1072.03,-A (Blue-White) Star-,1,false,,,false
HIP 114911,283.88,2,2,HIP 114911 2,1004,Class IV gas giant,3087,false,true,2,0.1057,0.1497015,0.14886288180146015,HIP 114911 1,Y (Brown dwarf) Star,9,2161,0.0978,V,2152,498,1.2769,HIP 114911 2 h,3111,Rocky body,181,2851.1414,-F (White) Star-Y (Brown dwarf) Star-,0,false,,,false
CN Bootis,69.90,5,5,CN Bootis A 12,998,Class IV gas giant,2804,false,true,2,0.0005,2803.9589955,2803.958645005104,CN Bootis A 10,Y (Brown dwarf) Star,9,2046,0.0721,V,328,405,1.5704,CN Bootis A 12 h,2742,Icy body,221,3861.8589,-A (Blue-White) Star-Y (Brown dwarf) Star-M (Red dwarf) Star-Y (Brown dwarf) Star-K (Yellow-Orange) Star-,1,true,3384,Va,false
HIP 34967,275.45,2,2,HIP 34967 3,988,Class IV gas giant,1749,false,true,1,0.0008,1749.810933,1749.8103730604118,HIP 34967 4,Y (Brown dwarf) Star,9,2785,0.065,V,1964,392,1.1689,HIP 34967 3 h,1775,Rocky body,201,1450.9078,-F (White) Star-Y (Brown dwarf) Star-,0,false,,,false
Aries Dark Region MN-T c3-2,287.27,1,1,Aries Dark Region MN-T c3-2 1,985,Class IV gas giant,1200,false,false,0,0.001,1201.005234,1201.004633497233,Aries Dark Region MN-T c3-2,K (Yellow-Orange) Star,0,0,0.8,Va,11534,4248,0.8,Aries Dark Region MN-T c3-2 1 h,1202,Rocky body,164,1263.374,-K (Yellow-Orange) Star-,0,false,,,false
HR 1358,154.68,2,2,HR 1358 AB 6,980,Class IV gas giant,2177,true,false,1,0.0028,2201.410458,2201.4018284540903,HR 1358 B,K (Yellow-Orange) Star,0,99,0.7498,Va,1808,4539,1.435,HR 1358 AB 6 h,2163,Rocky body,240,955.1574,-K (Yellow-Orange) Star-F (White) Star-,0,false,,,false
Col 285 Sector BB-O d6-86,283.79,1,1,Col 285 Sector BB-O d6-86 8,977,Class IV gas giant,4639,false,true,1,0.0205,4546.085251500001,4545.129904954884,Col 285 Sector BB-O d6-86,F (White) Star,0,0,1.1353,VI,862,7077,1.1353,Col 285 Sector BB-O d6-86 8 h,4567,Rocky body,204,3184.9333,-F (White) Star-,0,false,,,false
HIP 25137,202.10,1,1,HIP 25137 2,976,Class IV gas giant,1663,false,true,1,0.0001,1662.9341625,1662.9341541853291,HIP 25137,G (White-Yellow) Star,0,0,0.9762,V,8496,5451,0.9762,HIP 25137 2 h,1643,Rocky body,174,1660.8795,-G (White-Yellow) Star-,0,false,,,false
HIP 115337,278.78,2,2,HIP 115337 3,975,Class IV gas giant,3167,false,true,1,0.0018,3166.1368245,3166.1316953541896,HIP 115337 1,Y (Brown dwarf) Star,9,1300,0.0898,V,4400,483,1.1673,HIP 115337 3 h,3180,Rocky body,166,2408.4456,-G (White-Yellow) Star-Y (Brown dwarf) Star-,1,false,,,false
Muthnir,270.16,2,2,Muthnir 6,973,Class IV gas giant,3127,false,true,1,0.0046,3114.2403045,3114.207355663278,Muthnir 7,Y (Brown dwarf) Star,9,5833,0.056,V,520,325,1.2103,Muthnir 6 h,3164,Icy body,133,4049.0459,-F (White) Star-Y (Brown dwarf) Star-,1,false,,,false
HIP 12099,216.61,3,3,HIP 12099 5,973,Class IV gas giant,5113,false,true,1,0.0819,4962.904128,4946.231509924725,HIP 12099 4,Y (Brown dwarf) Star,9,3304,0.084,V,4104,489,1.1819,HIP 12099 5 h,5165,Rocky body,127,1626.1215,-G (White-Yellow) Star-Y (Brown dwarf) Star-Y (Brown dwarf) Star-,0,false,,,false
Psi Centauri,258.83,4,4,Psi Centauri A 4,973,Class IV gas giant,2677,false,true,2,0.0013,2674.3174965000003,2674.3152367007606,Psi Centauri A 5,Y (Brown dwarf) Star,9,3017,0.0652,Vz,212,378,2.4373,Psi Centauri A 4 h,2662,Rocky body,457,1125.3789,-B (Blue-White) Star-B (Blue-White) Star-Y (Brown dwarf) Star-Y (Brown dwarf) Star-,0,false,,,false
6 Sextantis,207.35,5,5,6 Sextantis 7,970,Class IV gas giant,1534,false,true,1,0.0001,1533.8914695,1533.8914618305425,6 Sextantis 6,Y (Brown dwarf) Star,9,1027,0.0803,V,560,433,1.6051,6 Sextantis 7 h,1530,Rocky body,311,1363.7964,-A (Blue-White) Star-Y (Brown dwarf) Star-Y (Brown dwarf) Star-T (Brown dwarf) Star-Y (Brown dwarf) Star-,0,false,,,false
HR 4324,178.60,1,1,HR 4324 2,969,Class IV gas giant,1204,false,true,1,0.0006,1203.500259,1203.500042369934,HR 4324,F (White) Star,0,0,1.3746,V,2008,7805,1.3746,HR 4324 2 h,1225,Rocky body,282,1242.2983,-F (White) Star-,0,false,,,false
54 Leonis,286.85,2,2,54 Leonis 8,967,Class IV gas giant,2600,false,true,1,0.0022,2596.1234130000003,2596.1171303737387,54 Leonis 6,Y (Brown dwarf) Star,9,2029,0.0626,V,904,387,2.4595,54 Leonis 8 h,2643,Rocky body,376,2104.0659,-A (Blue-White) Star-Y (Brown dwarf) Star-,0,false,,,false
78 Pegasi,224.34,2,2,78 Pegasi 1,966,Class IV gas giant,671,false,true,1,0.0006,670.5629190000001,670.5627982986638,78 Pegasi,G (White-Yellow) Star,0,0,10.6801,III,808,4531,10.6801,78 Pegasi 1 h,661,Rocky body,594,1002.8984,-G (White-Yellow) Star-Y (Brown dwarf) Star-,0,false,,,false
16 h orionis,178.44,6,6,16 h orionis ABC 1,963,T (Brown dwarf) Star,1570,true,false,1,0.0004,1786.537701,1786.5375580769783,16 h orionis ABC 1,T (Brown dwarf) Star,9,1570,0.2015,V,722,963,1.4953,16 h orionis ABC 1 h,1597,Rocky body,346,1073.2731,-A (Blue-White) Star-K (Yellow-Orange) Star-F (White) Star-T (Brown dwarf) Star-Y (Brown dwarf) Star-T (Brown dwarf) Star-,0,false,,,false
Hyades Sector CQ-Y d43,231.35,1,1,Hyades Sector CQ-Y d43 12,962,Class IV gas giant,3736,false,true,1,0.0012,3739.842873,3739.8401803121624,Hyades Sector CQ-Y d43,F (White) Star,0,0,1.3523,Vab,1672,6671,1.3523,Hyades Sector CQ-Y d43 12 h,3722,Rocky body,189,1459.3204,-F (White) Star-,0,false,,,false
Hyades Sector YK-X c1-4,223.66,2,2,Hyades Sector YK-X c1-4 13,962,Class IV gas giant,3247,false,true,1,0.0088,3219.9295635,3219.804885413487,Hyades Sector YK-X c1-4 12,Y (Brown dwarf) Star,9,1894,0.0672,V,2702,465,0.8495,Hyades Sector YK-X c1-4 13 h,3220,Icy body,101,2858.1621,-K (Yellow-Orange) Star-Y (Brown dwarf) Star-,0,false,,,false
70 Tauri,153.86,3,3,70 Tauri 5,958,T (Brown dwarf) Star,3007,false,true,2,0.0817,1.0479105,1.044407300685986,70 Tauri 5,T (Brown dwarf) Star,9,3007,0.1631,V,2352,958,1.3671,70 Tauri 5 h,3007,Rocky body,226,2235.2993,-F (White) Star-T (Brown dwarf) Star-Y (Brown dwarf) Star-,1,false,,,false
Hyades Sector CV-Y c19,246.30,1,1,Hyades Sector CV-Y c19 1,957,Class IV gas giant,1193,false,true,1,0.0015,1193.819562,1193.8182189522374,Hyades Sector CV-Y c19,K (Yellow-Orange) Star,0,0,0.8116,Vab,6216,5199,0.8116,Hyades Sector CV-Y c19 1 h,1181,Rocky body,178,1662.9153,-K (Yellow-Orange) Star-,0,false,,,false
HIP 82460,209.46,4,4,HIP 82460 AB 1,956,Class IV gas giant,1772,true,false,2,0.003,1766.4777,1766.4697508324641,HIP 82460 AB 2,Y (Brown dwarf) Star,9,2426,0.0601,V,3528,349,1.4143,HIP 82460 AB 1 h,1790,Rocky body,287,735.5454,-F (White) Star-F (White) Star-G (White-Yellow) Star-Y (Brown dwarf) Star-,1,false,,,false
Balie,159.25,3,3,Balie A 1,955,Class IV gas giant,2523,false,true,2,0.0124,2538.8875395,2538.692342322295,Balie A,G (White-Yellow) Star,0,0,0.9866,Vab,2796,5725,0.9866,Balie A 1 h,2504,Rocky body,185,1235.1486,-G (White-Yellow) Star-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,2984,Va,true
HIP 9056,246.36,3,3,HIP 9056 ABC 1,953,Class IV gas giant,2591,true,false,1,0.0012,2486.9411189999996,2486.939328401749,HIP 9056 C,M (Red dwarf) Star,9,1252,0.4259,Va,7064,2230,0.9553,HIP 9056 ABC 1 h,2535,Icy body,0,3946.561,-G (White-Yellow) Star-K (Yellow-Orange) Star-M (Red dwarf) Star-,0,true,2230,Va,false
HIP 28253,282.40,2,2,HIP 28253 5,952,Class IV gas giant,2359,false,true,1,0.0012,2359.8445455,2359.8428464113153,HIP 28253 2,Y (Brown dwarf) Star,9,947,0.056,V,3328,372,1.1613,HIP 28253 5 h,2374,Rocky body,187,1411.8031,-F (White) Star-Y (Brown dwarf) Star-,0,false,,,false
Col 285 Sector AL-O d6-100,253.55,1,1,Col 285 Sector AL-O d6-100 6,951,Class IV gas giant,3208,false,true,1,0.0007,3206.9554335000003,3206.9546477958224,Col 285 Sector AL-O d6-100,G (White-Yellow) Star,0,0,0.9567,Vab,776,5584,0.9567,Col 285 Sector AL-O d6-100 6 h,3214,Icy body,110,4594.5566,-G (White-Yellow) Star-,0,false,,,false
HIP 105906,137.41,2,2,HIP 105906 3,950,Class IV gas giant,5143,false,true,1,0.0005,5142.6956295,5142.694986663006,HIP 105906 2,T (Brown dwarf) Star,9,3656,0.1531,V,1934,844,1.0271,HIP 105906 3 h,5040,Icy body,84,3370.1038,-G (White-Yellow) Star-T (Brown dwarf) Star-,1,false,,,false
11 Delta Delphini,223.26,2,2,11 Delta Delphini 6,950,Class IV gas giant,2859,false,false,0,0.1629,0.399204,0.39387166639400967,11 Delta Delphini 3,Y (Brown dwarf) Star,9,1713,0.0977,V,684,562,2.1525,11 Delta Delphini 6 h,2853,Rocky body,337,2254.0398,-F (White) Star-Y (Brown dwarf) Star-,0,false,,,false
HIP 101091,266.47,2,2,HIP 101091 5,949,T (Brown dwarf) Star,2385,false,true,1,0.0302,2340.233649,2339.1662122096004,HIP 101091 5,T (Brown dwarf) Star,9,2385,0.1546,V,5186,949,1.02,HIP 101091 5 h,2494,Rocky body,185,1651.6426,-G (White-Yellow) Star-T (Brown dwarf) Star-,0,false,,,false
HIP 97449,231.15,2,2,HIP 97449 AB 4,949,Class IV gas giant,2171,true,false,0,0.0991,0.9980100000000001,0.993097275211452,HIP 97449 B,M (Red dwarf) Star,5,44,0.5211,Va,6962,2942,0.9053,HIP 97449 AB 4 h,2181,Rocky body,159,896.3323,-K (Yellow-Orange) Star-M (Red dwarf) Star-,0,true,2942,Va,false
HIP 118091,181.51,1,1,HIP 118091 8,947,Class IV gas giant,1703,false,true,1,0.0024,1698.5631195,1698.5582276311716,HIP 118091,F (White) Star,0,0,1.1529,V,400,6794,1.1529,HIP 118091 8 h,1673,Icy body,166,3563.1848,-F (White) Star-,1,false,,,false
LHS 2661,51.02,3,3,LHS 2661 5,946,Class IV gas giant,1614,false,true,1,0.1354,1787.4858105,1771.0248846285554,LHS 2661 4,Y (Brown dwarf) Star,9,1568,0.064,V,2124,343,0.064,LHS 2661 5 h,1622,Icy body,95,3832.7395,-Y (Brown dwarf) Star-Y (Brown dwarf) Star-White Dwarf (DA) Star-,0,false,,,false
HIP 59227,224.29,1,1,HIP 59227 9,945,Class IV gas giant,2158,false,true,1,0.147,1885.4903925,1865.0073527219913,HIP 59227,G (White-Yellow) Star,0,0,1.0066,IV,8754,5838,1.0066,HIP 59227 9 h,2157,Rocky body,180,1011.1744,-G (White-Yellow) Star-,0,false,,,false
HIP 20968,127.11,2,2,HIP 20968 4,943,Class IV gas giant,1331,false,true,1,0.0019,1332.9421559999998,1332.939750037237,HIP 20968 1,Y (Brown dwarf) Star,9,818,0.0658,V,4154,333,1.1127,HIP 20968 4 h,1334,Icy body,87,3204.2422,-F (White) Star-Y (Brown dwarf) Star-,1,false,,,false
CD-59 4616,98.23,1,1,CD-59 4616 6,941,Class IV gas giant,2438,false,true,1,0.1947,2065.780899,2026.2477184706677,CD-59 4616,K (Yellow-Orange) Star,0,0,0.7517,V,2544,4355,0.7517,CD-59 4616 6 h,2402,Icy body,95,5064.8535,-K (Yellow-Orange) Star-,1,false,,,false
8 Kappa Piscium,153.51,6,6,8 Kappa Piscium 9,939,T (Brown dwarf) Star,7682,false,true,1,0.0062,7657.73073,7657.583547000927,8 Kappa Piscium 9,T (Brown dwarf) Star,9,7682,0.1587,V,352,939,1.723,8 Kappa Piscium 9 h,7556,Rocky body,156,2175.0701,-A (Blue-White) Star-Y (Brown dwarf) Star-T (Brown dwarf) Star-Y (Brown dwarf) Star-T (Brown dwarf) Star-Y (Brown dwarf) Star-,1,false,,,false
HR 7327,180.61,4,4,HR 7327 A 4,937,Class IV gas giant,866,false,true,2,0,866.172879,866.172879,HR 7327 A,A (Blue-White) Star,0,0,2.8828,III,806,6722,2.8828,HR 7327 A 4 h,851,Rocky body,427,1480.058,-K (Yellow-Orange) Star-Y (Brown dwarf) Star-A (Blue-White) Star-Y (Brown dwarf) Star-,1,false,,,false
HIP 63491,183.42,2,2,HIP 63491 5,937,Class IV gas giant,3137,false,true,1,0.0065,3121.7752800000003,3121.7093318006246,HIP 63491 3,Y (Brown dwarf) Star,9,2295,0.0588,V,1396,387,1.3874,HIP 63491 5 h,3103,Rocky body,185,2225.2244,-F (White) Star-Y (Brown dwarf) Star-,0,false,,,false
HIP 67177,185.83,1,1,HIP 67177 5,937,Class IV gas giant,4321,false,true,1,0.0184,4392.7410150000005,4391.99734885175,HIP 67177,F (White) Star,0,0,1.2217,V,3184,7034,1.2217,HIP 67177 5 h,4311,Rocky body,194,1982.8691,-F (White) Star-,0,false,,,false
HIP 20491,166.11,2,2,HIP 20491 10,932,Class IV gas giant,4453,false,true,1,0.0013,4456.613654999999,4456.609889159869,HIP 20491 7,Y (Brown dwarf) Star,9,1718,0.0838,V,4284,476,1.1934,HIP 20491 10 h,4435,Rocky body,133,1049.1216,-Y (Brown dwarf) Star-F (White) Star-,1,false,,,false
HIP 2102,138.82,2,2,HIP 2102 6,931,Class IV gas giant,2409,false,false,0,0.0076,2418.5275335,2418.457685416212,HIP 2102 5,Y (Brown dwarf) Star,9,1838,0.0779,V,6086,493,0.8314,HIP 2102 6 h,2437,Icy body,130,8040.8911,-Y (Brown dwarf) Star-K (Yellow-Orange) Star-,1,false,,,false
HIP 98967,222.66,1,1,HIP 98967 7,928,Class IV gas giant,2951,false,true,1,0.0025,2953.0117889999997,2953.0025608237397,HIP 98967,G (White-Yellow) Star,0,0,0.9695,V,6784,5565,0.9695,HIP 98967 7 h,2856,Icy body,115,3636.9387,-G (White-Yellow) Star-,0,false,,,false
Coelesi,221.32,4,4,Coelesi ABCD 1,927,Class IV gas giant,4566,true,false,1,0.001,3929.664375,3929.6624101673215,Coelesi D,K (Yellow-Orange) Star,0,2106,1.0313,Va,5054,5079,1.1494,Coelesi ABCD 1 h,4592,Rocky body,151,1415.7439,-F (White) Star-K (Yellow-Orange) Star-K (Yellow-Orange) Star-M (Red dwarf) Star-,1,true,2781,Va,false
Sui Redd,135.06,2,2,Sui Redd 3,926,Class IV gas giant,5202,false,true,1,0.014,5159.512098,5159.006441035991,Sui Redd 2,T (Brown dwarf) Star,9,3712,0.1274,V,1748,780,1.0124,Sui Redd 3 h,5305,Icy body,87,2647.0146,-T (Brown dwarf) Star-G (White-Yellow) Star-,1,false,,,false
Col 285 Sector UM-O b21-3,186.91,3,3,Col 285 Sector UM-O b21-3 ABC 2,925,Class IV gas giant,3054,true,false,1,0.0011,2750.415759,2750.4140949979624,Col 285 Sector UM-O b21-3 C,M (Red dwarf) Star,7,1097,0.4575,Va,1818,2509,0.5393,Col 285 Sector UM-O b21-3 ABC 2 h,3108,Icy body,69,3512.2134,-M (Red dwarf) Star-M (Red dwarf) Star-M (Red dwarf) Star-,0,true,2383,Va,false
Qa'wakana,67.04,3,3,Qa'wakana 12,923,Class IV gas giant,4602,false,true,1,0.004,4583.5106264999995,4583.473958268314,Qa'wakana 9,Y (Brown dwarf) Star,9,2506,0.1011,V,1060,565,1.3119,Qa'wakana 12 h,4668,Rocky body,168,1010.6203,-Y (Brown dwarf) Star-Y (Brown dwarf) Star-F (White) Star-,1,false,,,false
Khaima,93.16,3,3,Khaima ABC 1,922,Class IV gas giant,1502,true,false,1,0.0051,1453.4518635,1453.4329612356023,Khaima C,M (Red dwarf) Star,6,500,0.4053,Va,12997,2638,0.8507,Khaima ABC 1 h,1526,Icy body,336,2966.967,-K (Yellow-Orange) Star-K (Yellow-Orange) Star-M (Red dwarf) Star-,1,true,2638,Va,false
HIP 53225,212.05,2,2,HIP 53225 3,921,Class IV gas giant,2374,false,true,1,0.0058,2361.0421574999996,2361.0024444369215,HIP 53225 1,Y (Brown dwarf) Star,9,922,0.0948,V,5424,522,1.0657,HIP 53225 3 h,2297,Rocky body,183,1165.4071,-F (White) Star-Y (Brown dwarf) Star-,0,false,,,false
Gurua,234.25,1,1,Gurua 6,918,Class IV gas giant,1200,false,true,1,0.0005,1200.3565275,1200.3563774554245,Gurua,G (White-Yellow) Star,0,0,0.9509,Va,12959,5251,0.9509,Gurua 6 h,1182,Rocky body,194,1145.1169,-G (White-Yellow) Star-,1,false,,,false
HIP 15415,130.97,2,2,HIP 15415 7,916,Class IV gas giant,4393,false,true,1,0.0124,4438.0007685,4437.659561884431,HIP 15415 6,Y (Brown dwarf) Star,9,2646,0.0715,V,1142,408,0.8418,HIP 15415 7 h,4364,Icy body,75,1731.49,-K (Yellow-Orange) Star-Y (Brown dwarf) Star-,1,false,,,false
HIP 1299,241.61,1,1,HIP 1299 5,915,Class IV gas giant,768,false,true,1,0.0008,767.7191925,767.718946829819,HIP 1299,G (White-Yellow) Star,0,0,0.9649,V,9546,5661,0.9649,HIP 1299 5 h,772,Rocky body,217,1716.6237,-G (White-Yellow) Star-,1,false,,,false
HIP 54598,255.00,1,1,HIP 54598 10,915,Class IV gas giant,1975,false,true,1,0.0011,1976.5089045,1976.5077087117513,HIP 54598,F (White) Star,0,0,1.0791,V,2496,6154,1.0791,HIP 54598 10 h,1945,Icy body,207,4375.1484,-F (White) Star-,0,false,,,false
Col 285 Sector AC-K c9-17,214.19,1,1,Col 285 Sector AC-K c9-17 13,915,Class IV gas giant,2304,false,true,2,0.0635,23.353434,23.30630299889109,Col 285 Sector AC-K c9-17,G (White-Yellow) Star,0,0,0.9432,,232,5706,0.9432,Col 285 Sector AC-K c9-17 13 h,2306,Rocky body,191,1192.8427,-G (White-Yellow) Star-,0,false,,,false
HIP 9197,203.62,1,1,HIP 9197 8,911,Class IV gas giant,2897,false,true,1,0.0011,2899.5683535,2899.5665992606155,HIP 9197,G (White-Yellow) Star,0,0,1.0565,V,3424,6017,1.0565,HIP 9197 8 h,2874,Rocky body,173,750.0586,-G (White-Yellow) Star-,0,false,,,false
HIP 21112,170.79,3,3,HIP 21112 8,910,Class IV gas giant,2561,false,true,2,0.0179,1.9960200000000001,1.9957002019972283,HIP 21112 10,Y (Brown dwarf) Star,9,3492,0.0642,V,400,385,1.1051,HIP 21112 8 h,2557,Rocky body,168,1219.2805,-F (White) Star-Y (Brown dwarf) Star-Y (Brown dwarf) Star-,1,false,,,false
Mel 111 Sector KC-V c2-7,263.67,1,1,Mel 111 Sector KC-V c2-7 3,909,Class IV gas giant,2038,false,true,2,0.0319,0.0499005,0.04987510391362515,Mel 111 Sector KC-V c2-7,G (White-Yellow) Star,0,0,0.9522,Vab,4222,5554,0.9522,Mel 111 Sector KC-V c2-7 3 h,2024,Rocky body,162,1167.6323,-G (White-Yellow) Star-,0,false,,,false
Shibboleth,62.42,1,1,Shibboleth 2,906,Class IV gas giant,1100,false,true,1,0.0001,1100.306025,1100.3060194984698,Shibboleth,G (White-Yellow) Star,0,0,1.0881,V,8120,6240,1.0881,Shibboleth 2 h,1081,Rocky body,221,968.2724,-G (White-Yellow) Star-,1,false,,,false
HIP 895,267.58,4,4,HIP 895 12,904,Class IV gas giant,4754,false,true,1,0.0521,4518.689877,4512.552921121966,HIP 895 11,Y (Brown dwarf) Star,9,3809,0.0655,V,240,394,1.1712,HIP 895 12 h,4622,Icy body,106,4234.2349,-Y (Brown dwarf) Star-Y (Brown dwarf) Star-Y (Brown dwarf) Star-F (White) Star-,0,false,,,false
HIP 106438,160.20,1,1,HIP 106438 5,904,Class IV gas giant,2525,false,true,1,0.0224,2562.9395805,2562.296509541102,HIP 106438,G (White-Yellow) Star,0,0,1.1172,V,8064,6657,1.1172,HIP 106438 5 h,2519,Rocky body,152,1758.1218,-G (White-Yellow) Star-,1,false,,,false
Col 285 Sector TK-E c12-8,188.25,1,1,Col 285 Sector TK-E c12-8 5,903,Class IV gas giant,2085,false,true,2,0.0184,7.9840800000000005,7.982728340523457,Col 285 Sector TK-E c12-8,K (Yellow-Orange) Star,0,0,0.7224,Va,1546,4166,0.7224,Col 285 Sector TK-E c12-8 5 h,2080,Rocky body,153,1633.0203,-K (Yellow-Orange) Star-,0,false,,,false
