System name,Distance from Sol (ly),Counting moons of moons,System stars count,System suitable stars count,Gas Body Name,Gas Body Surface Temperature (K),Gas Sub Type,Gas distance from arrival (ls),Gas has multiple stars ?,Gas star as orbit center ?,Gas orbit centers count,Gas orbital eccentricity,Gas semi major axis (ls),Gas semi minor axis (ls),Ref Star Name,Ref Star Sub Type,Ref Star Temp Class,Ref Star Distance from arrival (ls),Ref Star Radius,Ref Star Luminosity,Ref Star Age,Ref Star Temperature,Moon Star Diistance,Biggest Suitable Star Radius,8th Moon Name,8th Moon Distance from arrival (ls),8th Moon Sub Type,8th Moon Surface Temperature (K),8th Moon Radius,Star Types,Is populated,Has M or TT Star ?,Coldest M or TT Star temp.,Coldest M or TT Star lum.,Has Toroid Station
LHS 4058,41.84,true,4,4,LHS 4058 D,1976,L (Brown dwarf) Star,19925,false,false,1,0.0871,16020.755127000002,15959.869422722795,LHS 4058 D,L (Brown dwarf) Star,9,19925,0.3308,V,9208,1976,145,0.4819,LHS 4058 D 5,20070,Icy body,46,5933.3335,-M (Red dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-,1,true,2758,V,false
G 123-49,71.05,true,2,2,G 123-49 B,1971,L (Brown dwarf) Star,233572,false,false,1,0.152,144696.57965099998,143015.27680824592,G 123-49 B,L (Brown dwarf) Star,9,233572,0.3745,V,9206,1971,1284,0.4801,G 123-49 B 6,232288,Icy body,31,6816.9136,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,2753,V,false
Ngalkin,79.42,true,2,2,Ngalkin B,1966,L (Brown dwarf) Star,26637,false,false,1,0.1924,21574.98018,21171.88587172357,Ngalkin B,L (Brown dwarf) Star,9,26637,0.3207,V,6190,1966,373,0.4939,Ngalkin B 5,26264,Class I gas giant,41,38382.3672,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,3209,Va,false
Jita Ten,79.86,true,2,2,Jita Ten B,1966,L (Brown dwarf) Star,7601,false,false,1,0.4392,5589.7043085000005,5021.730620702426,Jita Ten B,L (Brown dwarf) Star,9,7601,0.307,V,4636,1966,47,0.4493,Jita Ten B 6,7554,Icy body,68,4907.5889,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,3037,Va,false
Core Sys Sector EB-O a6-1,38.91,true,1,1,Core Sys Sector EB-O a6-1,1960,L (Brown dwarf) Star,0,false,false,0,,0,0,Core Sys Sector EB-O a6-1,L (Brown dwarf) Star,9,0,0.3842,V,9044,1960,2661,0.3842,Core Sys Sector EB-O a6-1 7,2661,Icy body,20,9616.4131,-L (Brown dwarf) Star-,0,false,,,false
Teng Yeh,31.68,true,5,5,Teng Yeh E,1960,L (Brown dwarf) Star,49964,false,false,2,0.0231,1097.2620945,1096.969300422203,Teng Yeh E,L (Brown dwarf) Star,9,49964,0.345,V,1412,1960,113,1.024,Teng Yeh E 7,49851,High metal content world,201,620.2763,-M (Red dwarf) Star-L (Brown dwarf) Star-M (Red dwarf) Star-F (White) Star-K (Yellow-Orange) Star-,1,true,3101,Va,false
LTT 17149,77.14,true,2,2,LTT 17149 B,1959,L (Brown dwarf) Star,65969,false,false,1,0.0338,52996.1773185,52965.89619102777,LTT 17149 B,L (Brown dwarf) Star,9,65969,0.3654,V,7786,1959,1076,0.7825,LTT 17149 B 7,64893,Icy body,41,5283.7661,-K (Yellow-Orange) Star-L (Brown dwarf) Star-,1,false,,,false
Momoirent,59.63,true,3,3,Momoirent C,1956,L (Brown dwarf) Star,240761,false,false,1,0.2115,170645.73786,166785.389551769,Momoirent C,L (Brown dwarf) Star,9,240761,0.3219,V,10860,1956,815,0.6242,Momoirent C 6,241576,Icy body,34,5470.9224,-L (Brown dwarf) Star-M (Red dwarf) Star-M (Red dwarf) Star-,1,true,2004,VI,false
Piscium Sector SZ-O a6-1,72.19,true,2,2,Piscium Sector SZ-O a6-1 A,1954,L (Brown dwarf) Star,0,false,false,1,0.3269,11225.0675745,10608.350403558134,Piscium Sector SZ-O a6-1 A,L (Brown dwarf) Star,9,0,0.3236,V,12894,1954,224,0.3236,Piscium Sector SZ-O a6-1 A 6,224,Icy body,147,3893.7534,-L (Brown dwarf) Star-T (Brown dwarf) Star-,0,false,,,false
Carener,21.87,true,3,3,Carener C,1954,L (Brown dwarf) Star,316201,false,false,1,0.0535,293251.26636,292831.28640417295,Carener C,L (Brown dwarf) Star,9,316201,0.3078,V,934,1954,335,0.8717,Carener C 5,316536,Icy body,59,10603.0947,-K (Yellow-Orange) Star-K (Yellow-Orange) Star-L (Brown dwarf) Star-,1,false,,,false
Dala,42.08,true,2,2,Dala B,1952,L (Brown dwarf) Star,240204,false,false,1,0.1225,192520.8695475,191070.9011895141,Dala B,L (Brown dwarf) Star,9,240204,0.2823,V,9362,1952,1366,0.7859,Dala B 5 a,241570,Icy body,20,3577.1484,-K (Yellow-Orange) Star-L (Brown dwarf) Star-,1,false,,,false
Wolf 490,77.07,true,3,3,Wolf 490 B,1949,L (Brown dwarf) Star,719,false,false,2,0.0043,499.7535075,499.748887257466,Wolf 490 B,L (Brown dwarf) Star,9,719,0.3467,V,11582,1949,43,0.5322,Wolf 490 B 6 a,762,Rocky body,279,799.8252,-K (Yellow-Orange giant) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-,1,false,,,false
Sionesta,69.39,true,2,2,Sionesta A,1949,L (Brown dwarf) Star,0,false,false,1,0.0701,3837.1488480000003,3827.7093433582836,Sionesta A,L (Brown dwarf) Star,9,0,0.3426,V,6672,1949,335,0.3534,Sionesta A 7,335,Icy body,66,3111.0461,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,2206,Va,false
Piscium Sector DR-V b2-4,76.67,true,2,2,Piscium Sector DR-V b2-4 B,1947,L (Brown dwarf) Star,76396,false,false,1,0.1153,47752.483077000004,47434.008173227245,Piscium Sector DR-V b2-4 B,L (Brown dwarf) Star,9,76396,0.3412,V,5370,1947,811,0.5286,Piscium Sector DR-V b2-4 B 4 a,77207,Icy body,36,3190.7058,-M (Red dwarf) Star-L (Brown dwarf) Star-,0,true,2954,Va,false
LHS 512,57.21,true,2,2,LHS 512 B,1946,L (Brown dwarf) Star,98802,false,false,1,0.3161,100486.83247200001,95334.45828039829,LHS 512 B,L (Brown dwarf) Star,9,98802,0.3261,V,7016,1946,1118,0.5503,LHS 512 B 3 d,99920,Icy body,32,546.4428,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,3146,V,false
LHS 2725,74.11,true,2,2,LHS 2725 B,1942,L (Brown dwarf) Star,81026,false,false,1,0.1022,49214.467926000005,48956.7746468496,LHS 2725 B,L (Brown dwarf) Star,9,81026,0.3506,V,9340,1942,731,0.4896,LHS 2725 B 5,81757,Icy body,23,9157.3154,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,2749,V,false
NLTT 53690,70.94,true,2,2,NLTT 53690 B,1936,L (Brown dwarf) Star,1526,false,false,1,0.3397,1445.517684,1359.5583025888861,NLTT 53690 B,L (Brown dwarf) Star,9,1526,0.3656,V,6742,1936,28,0.5311,NLTT 53690 B 7,1554,High metal content world,230,3475.7549,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,3121,V,true
Alrai Sector EB-X b1-1,78.25,true,2,2,Alrai Sector EB-X b1-1 B,1935,L (Brown dwarf) Star,88880,false,false,1,0.1045,59992.42702050001,59663.961677408486,Alrai Sector EB-X b1-1 B,L (Brown dwarf) Star,9,88880,0.2827,V,10704,1935,392,0.5562,Alrai Sector EB-X b1-1 B 5,88488,Icy body,35,5291.542,-M (Red dwarf) Star-L (Brown dwarf) Star-,0,true,3158,Va,false
Aravaledi,78.67,true,2,2,Aravaledi B,1934,L (Brown dwarf) Star,52183,false,false,1,0.0876,37124.1256815,36981.410548459804,Aravaledi B,L (Brown dwarf) Star,9,52183,0.355,V,3526,1934,663,0.5898,Aravaledi B 6,51520,Icy body,44,12932.168,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,3099,Va,false
Togher,35.86,true,3,3,Togher C,1934,L (Brown dwarf) Star,99475,false,false,2,0.0202,12249.973944,12247.474449316476,Togher C,L (Brown dwarf) Star,9,99475,0.2939,V,9560,1934,347,0.8204,Togher C 5,99128,Icy body,81,7020.2163,-L (Brown dwarf) Star-M (Red dwarf) Star-K (Yellow-Orange) Star-,1,true,3297,Va,false
Sungai,75.53,true,1,1,Sungai,1932,L (Brown dwarf) Star,0,false,false,0,,0,0,Sungai,L (Brown dwarf) Star,9,0,0.3675,V,322,1932,1256,0.3675,Sungai 11,1256,Class I gas giant,35,47843.9961,-L (Brown dwarf) Star-,1,false,,,false
LHS 2310,51.76,true,2,2,LHS 2310 B,1928,L (Brown dwarf) Star,201316,false,false,1,0.2222,142276.0560975,138719.3122930659,LHS 2310 B,L (Brown dwarf) Star,9,201316,0.3019,V,6408,1928,99,0.5681,LHS 2310 B 6,201415,Icy body,428,10194.249,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,3265,V,false
Mikir,42.53,true,3,3,Mikir B,1926,L (Brown dwarf) Star,7085,false,false,2,0.1148,144.51184800000001,143.55642596060702,Mikir B,L (Brown dwarf) Star,9,7085,0.3005,V,1302,1926,50,0.5208,Mikir B 7,7135,High metal content world,178,1221.5339,-M (Red dwarf) Star-L (Brown dwarf) Star-T (Brown dwarf) Star-,1,true,2558,Va,false
LP 375-25,61.51,true,2,2,LP 375-25 B,1926,L (Brown dwarf) Star,507464,false,false,1,0.249,301802.3657415,292296.6429306602,LP 375-25 B,L (Brown dwarf) Star,9,507464,0.3081,V,5960,1926,1195,0.5583,LP 375-25 B 6,508659,Class I gas giant,33,36268.2305,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,3225,V,false
Berzitibi,72.32,true,2,2,Berzitibi B,1926,L (Brown dwarf) Star,16805,false,false,1,0.0987,11616.5868975,11559.865825440673,Berzitibi B,L (Brown dwarf) Star,9,16805,0.3453,V,1030,1926,264,0.4638,Berzitibi B 4,17069,Gas giant with ammonia-based life,100,72617.0234,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,3223,Va,false
Core Sys Sector GH-M a7-3,44.17,true,1,1,Core Sys Sector GH-M a7-3,1921,L (Brown dwarf) Star,0,false,false,0,,0,0,Core Sys Sector GH-M a7-3,L (Brown dwarf) Star,9,0,0.3283,V,3938,1921,1427,0.3283,Core Sys Sector GH-M a7-3 6 a,1427,Icy body,24,4033.7693,-L (Brown dwarf) Star-,0,false,,,false
Kungurutii,75.82,true,2,2,Kungurutii B,1919,L (Brown dwarf) Star,10918,false,false,1,0.1156,7430.1345495000005,7380.32179191336,Kungurutii B,L (Brown dwarf) Star,9,10918,0.3518,V,6104,1919,499,0.6442,Kungurutii B 6 a,11417,Icy body,56,1106.7061,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,3604,Va,false
Puppis Sector BV-Y b5,79.63,true,2,2,Puppis Sector BV-Y b5 B,1917,L (Brown dwarf) Star,309840,false,false,1,0.0618,176507.848998,176170.46363230518,Puppis Sector BV-Y b5 B,L (Brown dwarf) Star,9,309840,0.3179,V,3072,1917,11,0.4577,Puppis Sector BV-Y b5 B 5 a,309829,Icy body,30,1469.2617,-M (Red dwarf) Star-L (Brown dwarf) Star-,0,true,2602,Va,false
Ix Chakan,71.67,true,1,1,Ix Chakan,1902,L (Brown dwarf) Star,0,false,false,0,,0,0,Ix Chakan,L (Brown dwarf) Star,9,0,0.3604,V,3082,1902,517,0.3604,Ix Chakan 3 c,517,Icy body,44,868.1654,-L (Brown dwarf) Star-,1,false,,,false
Ngurelban,54.55,true,4,4,Ngurelban B,1900,L (Brown dwarf) Star,6871,false,false,2,0.0066,4986.856368000001,4986.747753085476,Ngurelban B,L (Brown dwarf) Star,9,6871,0.3239,V,12406,1900,40,0.5976,Ngurelban B 6,6831,Icy body,112,4513.6548,-M (Red dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-T (Brown dwarf) Star-,1,true,3217,Va,false
LP 943-72,65.79,true,2,2,LP 943-72 B,1893,L (Brown dwarf) Star,420767,false,false,1,0.0718,282394.76387850003,281665.9169282253,LP 943-72 B,L (Brown dwarf) Star,9,420767,0.3018,V,8024,1893,4306,0.4985,LP 943-72 B 5,416461,Icy body,20,8448.1484,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,2805,V,false
Nepi,72.78,true,4,4,Nepi D,1890,L (Brown dwarf) Star,24217,false,false,1,0.0022,20770.983324,20770.93305815954,Nepi D,L (Brown dwarf) Star,9,24217,0.327,V,510,1890,83,0.5391,Nepi D 6,24134,Icy body,138,11854.585,-M (Red dwarf) Star-M (Red dwarf) Star-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,2231,Va,false
G 172-13,56.27,true,2,2,G 172-13 B,1888,L (Brown dwarf) Star,370981,false,false,1,0.1756,277303.2162615,272994.36770192924,G 172-13 B,L (Brown dwarf) Star,9,370981,0.3382,V,9576,1888,3750,0.4501,G 172-13 B 6,367231,Icy body,20,10446.2188,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,2655,V,false
Alrai Sector SI-T a3-2,71.83,true,2,2,Alrai Sector SI-T a3-2 A,1884,L (Brown dwarf) Star,0,false,false,1,0.0754,3344.0820075,3334.562637797551,Alrai Sector SI-T a3-2 A,L (Brown dwarf) Star,9,0,0.3459,V,258,1884,1472,0.3459,Alrai Sector SI-T a3-2 A 6,1472,Icy body,26,5569.7881,-L (Brown dwarf) Star-T (Brown dwarf) Star-,0,false,,,false
LP 878-87,52.87,true,3,3,LP 878-87 B,1881,L (Brown dwarf) Star,46915,false,false,2,0.1079,2873.1709889999997,2856.396705462951,LP 878-87 B,L (Brown dwarf) Star,9,46915,0.3022,V,10038,1881,182,0.4908,LP 878-87 B 7,46733,Icy body,69,5476.6294,-M (Red dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-,1,true,2816,V,false
LP 157-32,79.56,true,2,2,LP 157-32 B,1878,L (Brown dwarf) Star,249256,false,false,1,0.1362,212796.64030949998,210813.66534191804,LP 157-32 B,L (Brown dwarf) Star,9,249256,0.3203,V,3620,1878,758,0.5917,LP 157-32 B 6,248498,Icy body,28,5698.9165,-L (Brown dwarf) Star-M (Red dwarf) Star-,0,true,3277,V,false
LP 294-40,74.16,true,2,2,LP 294-40 B,1877,L (Brown dwarf) Star,98141,false,false,1,0.0462,57877.094925,57815.29433672634,LP 294-40 B,L (Brown dwarf) Star,9,98141,0.3152,V,11644,1877,1746,0.3932,LP 294-40 B 7,99887,Icy body,20,8547.1729,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,2229,V,false
Toolfa,14.01,true,2,2,Toolfa B,1876,L (Brown dwarf) Star,50934,false,false,1,0.0623,34999.3623915,34931.37502005914,Toolfa B,L (Brown dwarf) Star,9,50934,0.3822,V,7004,1876,1092,0.5254,Toolfa B 6,49842,Icy body,32,8902.3799,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,3102,V,false
Core Sys Sector CB-O a6-0,39.86,true,1,1,Core Sys Sector CB-O a6-0,1873,L (Brown dwarf) Star,0,false,false,0,,0,0,Core Sys Sector CB-O a6-0,L (Brown dwarf) Star,9,0,0.2986,V,2054,1873,3295,0.2986,Core Sys Sector CB-O a6-0 7,3295,Icy body,20,6588.8608,-L (Brown dwarf) Star-,0,false,,,false
Alrai Sector YO-R a4-1,63.87,true,1,1,Alrai Sector YO-R a4-1,1872,L (Brown dwarf) Star,0,false,false,0,,0,0,Alrai Sector YO-R a4-1,L (Brown dwarf) Star,9,0,0.3312,V,13048,1872,3192,0.3312,Alrai Sector YO-R a4-1 6,3192,Icy body,20,2795.1836,-L (Brown dwarf) Star-,0,false,,,false
AU Microscopii,32.33,true,3,3,AU Microscopii C,1862,L (Brown dwarf) Star,85288,false,false,1,0.3055,52707.802329,50187.95173219676,AU Microscopii C,L (Brown dwarf) Star,9,85288,0.3661,V,10370,1862,1733,0.613,AU Microscopii C 6,87021,Icy body,30,10201.249,-M (Red dwarf) Star-M (Red dwarf) Star-L (Brown dwarf) Star-,0,true,2099,VI,false
LHS 2065,27.92,true,2,2,LHS 2065 B,1861,L (Brown dwarf) Star,46191,false,false,1,0.1673,33084.8798085,32618.58267297634,LHS 2065 B,L (Brown dwarf) Star,9,46191,0.3295,V,5646,1861,516,0.5667,LHS 2065 B 5,46707,Icy body,46,4220.0073,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,3252,V,false
Piscium Sector KY-H a10-0,63.97,true,1,1,Piscium Sector KY-H a10-0,1859,L (Brown dwarf) Star,0,false,false,0,,0,0,Piscium Sector KY-H a10-0,L (Brown dwarf) Star,9,0,0.3719,Vz,236,1859,1280,0.3719,Piscium Sector KY-H a10-0 7,1280,Icy body,27,7550.2788,-L (Brown dwarf) Star-,0,false,,,false
LHS 3315,75.66,true,2,2,LHS 3315 B,1857,L (Brown dwarf) Star,237736,false,false,1,0.0809,155700.238707,155189.88805956978,LHS 3315 B,L (Brown dwarf) Star,9,237736,0.3059,V,8908,1857,1131,0.5088,LHS 3315 B 6,236605,Icy body,21,6887.3608,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,2826,V,false
Ross 112,77.64,true,2,2,Ross 112 B,1857,L (Brown dwarf) Star,151348,false,false,1,0.0846,92467.422918,92135.92663959828,Ross 112 B,L (Brown dwarf) Star,9,151348,0.3528,V,8658,1857,758,0.4941,Ross 112 B 7,152106,Icy body,38,7502.335,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,2852,V,false
Wolf 1051,54.88,true,2,2,Wolf 1051 B,1855,L (Brown dwarf) Star,4648,false,false,1,0.1174,2487.1906215,2469.9909755195304,Wolf 1051 B,L (Brown dwarf) Star,9,4648,0.3473,V,8176,1855,118,0.4416,Wolf 1051 B 7,4530,Icy body,101,4885.1567,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,2592,V,false
LP 355-51,70.49,true,2,2,LP 355-51 B,1849,L (Brown dwarf) Star,311918,false,false,1,0.2291,224023.85360550001,218065.46695886136,LP 355-51 B,L (Brown dwarf) Star,9,311918,0.3646,V,7260,1849,1735,0.5014,LP 355-51 B 3 c,310183,Icy body,27,1522.5411,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,2844,V,false
Puppis Sector TD-T a3-1,76.80,true,1,1,Puppis Sector TD-T a3-1,1836,L (Brown dwarf) Star,0,false,false,0,,0,0,Puppis Sector TD-T a3-1,L (Brown dwarf) Star,9,0,0.2787,V,462,1836,3764,0.2787,Puppis Sector TD-T a3-1 6,3764,Icy body,20,8104.8486,-L (Brown dwarf) Star-,0,false,,,false
LP 91-140,53.47,true,3,3,LP 91-140 C,1834,L (Brown dwarf) Star,120560,false,false,2,0.0136,612.478737,612.4220923470323,LP 91-140 C,L (Brown dwarf) Star,9,120560,0.2777,V,8716,1834,25,0.5043,LP 91-140 C 6,120535,Icy body,89,2463.5042,-M (Red dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-,1,true,2837,V,false
Nandjalato,76.33,true,4,4,Nandjalato D,1834,L (Brown dwarf) Star,241834,false,false,1,0.1259,227608.256421,225797.16331708047,Nandjalato D,L (Brown dwarf) Star,9,241834,0.325,V,2818,1834,1542,0.5821,Nandjalato D 5,240292,Icy body,24,6304.2065,-M (Red dwarf) Star-M (Red dwarf) Star-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,2052,VI,false
Charunder,41.50,true,2,2,Charunder B,1829,L (Brown dwarf) Star,3768,false,false,1,0.207,2196.2208060000003,2148.6527335362994,Charunder B,L (Brown dwarf) Star,9,3768,0.3311,V,428,1829,118,0.513,Charunder B 6,3886,Icy body,157,5907.998,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,3165,Va,false
Core Sys Sector XJ-R a4-0,40.44,true,1,1,Core Sys Sector XJ-R a4-0,1827,L (Brown dwarf) Star,0,false,false,0,,0,0,Core Sys Sector XJ-R a4-0,L (Brown dwarf) Star,9,0,0.3304,V,4442,1827,2562,0.3304,Core Sys Sector XJ-R a4-0 7,2562,Icy body,20,9130.9736,-L (Brown dwarf) Star-,0,false,,,false
Alrai Sector JB-O a6-3,73.25,true,2,2,Alrai Sector JB-O a6-3 A,1826,L (Brown dwarf) Star,0,false,false,1,0.1267,20225.8203615,20062.822132099554,Alrai Sector JB-O a6-3 A,L (Brown dwarf) Star,9,0,0.3263,V,1230,1826,2146,0.3263,Alrai Sector JB-O a6-3 A 7,2146,Icy body,21,10333.1094,-L (Brown dwarf) Star-L (Brown dwarf) Star-,0,false,,,false
Hodnabo,68.89,true,2,2,Hodnabo,1825,L (Brown dwarf) Star,0,false,false,0,,0,0,Hodnabo,L (Brown dwarf) Star,9,0,0.3119,V,8558,1825,2371,0.3119,Hodnabo 5,2371,Icy body,20,11485.4736,-L (Brown dwarf) Star-L (Brown dwarf) Star-,0,false,,,false
Hyades Sector RL-H a25-0,64.53,true,3,3,Hyades Sector RL-H a25-0 A,1824,L (Brown dwarf) Star,0,false,false,2,0.3254,5757.6693915,5444.316635870558,Hyades Sector RL-H a25-0 A,L (Brown dwarf) Star,9,0,0.3419,V,11636,1824,228,0.3419,Hyades Sector RL-H a25-0 A 5,228,Icy body,64,8052.8413,-L (Brown dwarf) Star-T (Brown dwarf) Star-T (Brown dwarf) Star-,0,false,,,false
LP 440-38,48.65,true,2,2,LP 440-38 B,1820,L (Brown dwarf) Star,105285,false,false,1,0.0707,70270.5328065,70094.68951572577,LP 440-38 B,L (Brown dwarf) Star,9,105285,0.2998,V,8660,1820,3596,0.5257,LP 440-38 B 7,108881,Class I gas giant,23,45318.6289,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,3017,V,false
LTT 8679,49.43,true,4,4,LTT 8679 C,1817,L (Brown dwarf) Star,86986,false,false,2,0.5586,40269.603699,33401.10663944407,LTT 8679 C,L (Brown dwarf) Star,9,86986,0.3083,V,9922,1817,1200,0.4732,LTT 8679 C 4 a,85786,Icy body,32,2844.5791,-M (Red dwarf) Star-T (Brown dwarf) Star-L (Brown dwarf) Star-T (Brown dwarf) Star-,1,true,2686,V,false
Core Sys Sector WJ-R a4-0,45.76,true,1,1,Core Sys Sector WJ-R a4-0,1811,L (Brown dwarf) Star,0,false,false,0,,0,0,Core Sys Sector WJ-R a4-0,L (Brown dwarf) Star,9,0,0.3405,V,12841,1811,2983,0.3405,Core Sys Sector WJ-R a4-0 6,2983,Icy body,20,2061.998,-L (Brown dwarf) Star-,0,false,,,false
