===== PARAMETERS =====
Total rows : 5415
Reference system: Sol
Area of search : 1000 ly
Gas types Class I gas giant +Class II gas giant +Class III gas giant +Class IV gas giant +Class V gas giant +Gas giant with ammonia-based life +Gas giant with water-based life +Hellium-rich gas giant
Ref star types : M (Red giant) Star + M (Red dwarf) Star + M (Red super giant) Star + T Tauri Star
==========
System name,Distance from Sol (ly),System stars count,System suitable stars count,Gas Body Name,Gas Body Surface Temperature (K),Gas Sub Type,Gas distance from arrival (ls),Gas has multiple stars ?,Gas star as orbit center ?,Gas orbit centers count,Gas orbital eccentricity,Gas semi major axis (ls),Gas semi minor axis (ls),Ref Star Name,Ref Star Sub Type,Ref Star Temp Class,Ref Star Distance from arrival (ls),Ref Star Radius,Ref Star Luminosity,Ref Star Age,Ref Star Temperature,Biggest Suitable Star Radius,Has T Tauri Star ?,8th Moon Name,8th Moon Distance from arrival (ls),8th Moon Sub Type,8th Moon Surface Temperature (K),8th Moon Radius
HIP 19113,282.65,2,1,HIP 19113 A 5,881,Class IV gas giant,1933.2172,false,true,3,0.1447,0.698607,0.6912545617808408,HIP 19113 C,M (Red dwarf) Star,8,108002,0.4973,,5984,0.4973,false,2489,HIP 19113 A 5 f a,1927,Rocky body,197,654.7709
Col 285 Sector YT-Q c5-7,235.13,3,1,Col 285 Sector YT-Q c5-7 ABC 1,876,Class IV gas giant,1025.2422,true,false,0,0,1173.5100585,1173.5100585,Col 285 Sector YT-Q c5-7 B,M (Red dwarf) Star,9,481.8218,0.4135,Va,258,0.4135,false,2300,Col 285 Sector YT-Q c5-7 ABC 1 h,1026.0861,Rocky body,158,1213.3602
Synuefe QI-C c28-0,695.46,2,1,Synuefe QI-C c28-0 AB 4,873,Class IV gas giant,1728.1874,true,false,0,0.0024,1735.938594,1735.93359448965,Synuefe QI-C c28-0 B,M (Red dwarf) Star,6,52.3615,0.4641,Va,10386,0.4641,false,2727,Synuefe QI-C c28-0 AB 4 g,1746.824,Rocky body,171,1315.2742
Mizo,138.63,1,1,Mizo 9,870,Class IV gas giant,2061.9214,false,true,1,0.0054,2051.1600525,2051.130146368417,Mizo,M (Red dwarf) Star,3,0,0.6432,Va,556,0.6432,false,3327,Mizo 9 f,2072.1104,Rocky body,121,1392.3904
Pencil Sector KM-W d1-38,833.29,3,1,Pencil Sector KM-W d1-38 A 11,868,Class IV gas giant,3797.9749,false,false,0,0.0065,3781.0606860000003,3780.9808102493116,Pencil Sector KM-W d1-38 C,M (Red dwarf) Star,9,353843.5938,0.4158,,786,0.4158,false,2231,Pencil Sector KM-W d1-38 A 11 h,3774.5837,Icy body,111,3763.9895
Synuefai HW-T d4-44,648.51,2,1,Synuefai HW-T d4-44 A 2,865,Class IV gas giant,4198.9502,false,false,0,0.0043,4209.506379,4209.467461933632,Synuefai HW-T d4-44 B,M (Red dwarf) Star,6,78339.1797,0.4048,,1790,0.4048,false,2626,Synuefai HW-T d4-44 A 2 f,4176.8276,Rocky body,177,1550.1376
Pencil Sector GW-W c1-9,798.13,4,2,Pencil Sector GW-W c1-9 AB 4,863,Class IV gas giant,2141,true,false,0,0.0096,68.263884,68.26073832774733,Pencil Sector GW-W c1-9 B,M (Red dwarf) Star,4,130,0.502,,8646,0.5209,false,3195,Pencil Sector GW-W c1-9 AB 4 f a,2138,Rocky body,171,747.2391
HIP 102424,997.44,4,3,HIP 102424 A 1,861,Class IV gas giant,313,false,false,0,0.0002,312.52683149999996,312.5268252494633,HIP 102424 B,M (Red dwarf) Star,5,23467,0.5108,,6476,0.5108,false,2905,HIP 102424 A 1 g,306,Rocky body,778,1257.5476
Antliae Sector IR-W c1-10,185.47,5,2,Antliae Sector IR-W c1-10 ABCD 2,854,Class IV gas giant,5875.1113,true,false,1,0.0051,6008.1699015,6008.091764742343,Antliae Sector IR-W c1-10 C,M (Red dwarf) Star,3,2342.3643,0.5763,Va,1640,0.5763,false,3259,Antliae Sector IR-W c1-10 ABCD 2 f,5773.3022,Icy body,83,3163.5278
Nox,76.84,5,1,Nox ABCD 7,850,Class IV gas giant,3747.3713,true,false,2,0.1457,3.193632,3.1595521714847736,Nox B,M (Red dwarf) Star,9,5.1026,0.4059,Va,12910,0.4059,false,2262,Nox ABCD 7 h,3756.9189,Rocky body,154,1032.6436
Col 285 Sector FB-X d1-90,288.15,4,1,Col 285 Sector FB-X d1-90 A 9,847,Class IV gas giant,1192.291,false,false,0,0.0019,1194.2187660000002,1194.216610433182,Col 285 Sector FB-X d1-90 C,M (Red dwarf) Star,2,22754.873,0.5932,,782,0.5932,false,3558,Col 285 Sector FB-X d1-90 A 9 g,1200.8074,Rocky body,320,1491.3281
HIP 38690,382.36,3,1,HIP 38690 ABC 1,843,Class IV gas giant,4382.8071,true,false,1,0.0011,3698.824662,3698.8224242104025,HIP 38690 C,M (Red dwarf) Star,3,2273.2214,0.5327,Va,1232,0.5327,false,3291,HIP 38690 ABC 1 f,4405.3306,Rocky body,210,1314.4211
HIP 3434,210.18,4,1,HIP 3434 AB 1,841,Class IV gas giant,2960.3164,true,false,2,0.0013,2616.0337124999996,2616.031501950579,HIP 3434 C,M (Red dwarf) Star,8,379278.8438,0.4468,Va,2496,0.4468,false,2460,HIP 3434 AB 1 h,2965.3154,Rocky body,207,1537.0625
Maljangapa,176.41,1,1,Maljangapa 4,840,Class IV gas giant,947.778,false,true,1,0.0034,946.3629825,946.3575125061528,Maljangapa,T Tauri Star,0,0,0.8452,Va,208,0.8452,true,4341,Maljangapa 4 f a,945.8271,Rocky body,180,691.218
Synuefe AB-E c28-6,451.97,2,1,Synuefe AB-E c28-6 AB 4,838,Class IV gas giant,2171,true,false,0,0.0055,2135.2922955,2135.259998959786,Synuefe AB-E c28-6 B,M (Red dwarf) Star,5,229,0.4595,,604,0.4595,false,2811,Synuefe AB-E c28-6 AB 4 h,2174,Icy body,93,3217.5864
LTT 9299,89.96,3,2,LTT 9299 ABC 2,822,Class IV gas giant,2879.7939,true,false,1,0.0014,3037.5931365,3037.5901596572676,LTT 9299 B,M (Red dwarf) Star,9,923.2864,0.4205,Va,7040,0.4205,false,2386,LTT 9299 ABC 2 h,2822.2361,Icy body,147,4063.8652
Swoilz TU-W d2-24,655.43,5,1,Swoilz TU-W d2-24 AB 3,820,Class IV gas giant,3468,true,false,0,0.0118,3466.687536,3466.4461768117376,Swoilz TU-W d2-24 B,M (Red dwarf) Star,2,227,0.5938,,1726,0.5938,false,3419,Swoilz TU-W d2-24 AB 3 f a,3502,Rocky body,132,943.0949
Synuefe RP-T c18-0,995.07,4,1,Synuefe RP-T c18-0 ABC 4,820,Class IV gas giant,1686.1589,true,false,1,0.0003,1600.2591345,1600.2590624883371,Synuefe RP-T c18-0 B,M (Red dwarf) Star,7,299.7478,0.4242,Va,10770,0.4242,false,2504,Synuefe RP-T c18-0 ABC 4 g,1713.7288,Icy body,99,5279.0288
Col 285 Sector BW-M d7-56,291.62,3,1,Col 285 Sector BW-M d7-56 AB 1,817,Class IV gas giant,2061.7407,true,false,2,0.0005,2208.895533,2208.895256888041,Col 285 Sector BW-M d7-56 C,M (Red dwarf) Star,8,66591.6094,0.4044,Va,1418,0.4044,false,2402,Col 285 Sector BW-M d7-56 AB 1 h,2087.8279,Rocky body,130,1323.5951
Wregoe GH-D d12-18,613.86,2,1,Wregoe GH-D d12-18 AB 1,812,Class IV gas giant,2733,true,false,0,0.0004,2575.764009,2575.763802938871,Wregoe GH-D d12-18 B,M (Red dwarf) Star,2,1346,0.5926,Va,286,0.5926,false,3414,Wregoe GH-D d12-18 AB 1 h,2707,Icy body,133,3330.6536
Pa Pa Pole,151.85,3,3,Pa Pa Pole ABC 2,809,Class IV gas giant,3315.0811,true,false,1,0.0095,3503.713707,3503.5555983515646,Pa Pa Pole C,M (Red dwarf) Star,9,896.6121,0.4001,Va,2670,0.5364,false,2324,Pa Pa Pole ABC 2 h,3344.4272,Icy body,128,2712.9492
Synuefe RE-G c27-9,378.46,3,1,Synuefe RE-G c27-9 ABC 5,805,Class IV gas giant,3086,true,false,0,0.0021,3079.459656,3079.452865783972,Synuefe RE-G c27-9 C,M (Red dwarf) Star,9,41,0.3354,,3278,0.3354,false,2154,Synuefe RE-G c27-9 ABC 5 f a,3113,Icy body,111,965.9611
HIP 15372,291.24,5,2,HIP 15372 ABCDE 4,804,Class IV gas giant,4060.085,true,false,0,0.1475,4.0918410000000005,4.047084671004775,HIP 15372 D,M (Red dwarf) Star,2,230.8134,0.5674,Va,2840,0.5674,false,3400,HIP 15372 ABCDE 4 h,4078.1504,Rocky body,168,1024.4796
Wredguia IF-R d4-31,638.69,3,1,Wredguia IF-R d4-31 A 5,799,Class III gas giant,2493,false,false,0,0.0027,2496.8713185,2496.8622173874573,Wredguia IF-R d4-31 B,M (Red dwarf) Star,1,62813,0.5596,,1018,0.5596,false,3618,Wredguia IF-R d4-31 A 5 g,2505,Rocky body,205,1071.2566
Wolf 1414,87.41,2,1,Wolf 1414 AB 1,794,Class III gas giant,3583.4917,true,false,1,0.0006,2945.1774105,2945.1768803680184,Wolf 1414 B,M (Red dwarf) Star,5,2023.1096,0.5872,Va,3118,0.5872,false,3087,Wolf 1414 AB 1 h,3610.3916,Icy body,85,1417.9285
Col 173 Sector PB-A c15-20,898.71,2,2,Col 173 Sector PB-A c15-20 AB 1,793,Class III gas giant,1906.9526,true,false,0,0.0275,4.2415425,4.239938363402752,Col 173 Sector PB-A c15-20 B,T Tauri Star,1,176.2997,0.6563,,206,0.8947,true,3614,Col 173 Sector PB-A c15-20 AB 1 g a,1912.1232,Rocky body,173,558.9528
HIP 9056,246.36,3,1,HIP 9056 ABC 2,789,Class III gas giant,2937.1829,true,false,1,0.0053,3249.819963,3249.774318958082,HIP 9056 C,M (Red dwarf) Star,9,1133.8466,0.4259,Va,7064,0.4259,false,2230,HIP 9056 ABC 2 h,2843.0178,Icy body,0,3924.8684
Wredguia BV-G b40-0,527.08,1,1,Wredguia BV-G b40-0 15,789,Class III gas giant,1893.3478,false,false,0,0.0002,1893.424572,1893.4245341315082,Wredguia BV-G b40-0,M (Red dwarf) Star,4,0,0.5999,Va,376,0.5999,false,3190,Wredguia BV-G b40-0 15 g a,1878.9874,Icy body,79,1404.6105
Rho Ophiuchi Sector FW-W d1-54,501.67,2,1,Rho Ophiuchi Sector FW-W d1-54 AB 1,789,Class III gas giant,3181.9385,true,false,0,0.001,3931.5106935,3931.5087277441617,Rho Ophiuchi Sector FW-W d1-54 B,M (Red dwarf) Star,1,2795.0647,0.5752,,796,0.5752,false,3624,Rho Ophiuchi Sector FW-W d1-54 AB 1 h,3172.2827,Rocky body,153,756.6851
Col 359 Sector HR-L c8-3,659.95,2,2,Col 359 Sector HR-L c8-3 AB 6,788,Class III gas giant,2923.5205,true,false,2,0.1134,0.5489055,0.545364738402343,Col 359 Sector HR-L c8-3 A,M (Red dwarf) Star,2,127.2611,0.6995,Va,902,0.6995,false,3546,Col 359 Sector HR-L c8-3 AB 6 h,2928.5713,Rocky Ice world,117,1980.9694
Col 285 Sector FX-R b5-3,319.81,4,2,Col 285 Sector FX-R b5-3 ABCD 3,787,Class III gas giant,1635.1429,true,false,2,0.1597,8.782488,8.669769983418526,Col 285 Sector FX-R b5-3 B,M (Red dwarf) Star,5,4.163,0.4562,Va,3682,0.5396,false,2911,Col 285 Sector FX-R b5-3 ABCD 3 g,1631.7664,Rocky Ice world,108,1956.2736
Wregoe PI-B d13-26,845.11,2,1,Wregoe PI-B d13-26 A 5,786,Class III gas giant,2404.9624,false,false,0,0.0007,2406.3019109999996,2406.301321455959,Wregoe PI-B d13-26 B,M (Red dwarf) Star,4,305512.2188,0.6053,,9976,0.6053,false,3162,Wregoe PI-B d13-26 A 5 f a,2413.1479,Rocky body,180,410.307
Swoilz SU-R c7-15,995.52,5,2,Swoilz SU-R c7-15 ABC 1,784,Class III gas giant,2409.9338,true,false,0,0.004,2547.0213209999997,2547.0009447479265,Swoilz SU-R c7-15 C,M (Red dwarf) Star,6,658.3898,0.4119,Va,2584,0.5402,false,2751,Swoilz SU-R c7-15 ABC 1 h,2399.2632,Icy body,110,3118.2791
Synuefe QO-Q c21-0,263.32,3,1,Synuefe QO-Q c21-0 AB 4,781,Class III gas giant,2039.5806,true,false,2,0.0519,92.1662235,92.04200986718496,Synuefe QO-Q c21-0 B,M (Red dwarf) Star,9,363.7568,0.3093,VI,494,0.3093,false,2063,Synuefe QO-Q c21-0 AB 4 g,2037.1317,Rocky body,0,898.7639
HIP 794,180.40,2,1,HIP 794 A 1,772,Class III gas giant,953.0236,false,false,0,0.001,952.2512415,952.2507653742604,HIP 794 B,M (Red dwarf) Star,4,50356.7461,0.5911,Va,10128,0.5911,false,3190,HIP 794 A 1 f,945.507,Rocky body,218,1337.5049
Wregoe MD-K d8-119,370.09,5,1,Wregoe MD-K d8-119 ABC 3,772,Class III gas giant,2847.5222,true,false,1,0.0062,3254.2611075,3254.198560000426,Wregoe MD-K d8-119 C,M (Red dwarf) Star,5,905.0984,0.5123,Va,2798,0.5123,false,2895,Wregoe MD-K d8-119 ABC 3 h,2819.8813,Icy body,106,2580.9192
Meidmarama,173.87,2,1,Meidmarama AB 1,766,Class III gas giant,2764.7336,true,false,1,0.0102,2973.07179,2972.9171267825895,Meidmarama B,M (Red dwarf) Star,9,1483.3401,0.343,Va,746,0.343,false,2308,Meidmarama AB 1 g,2785.0149,Icy body,92,3360.7349
Warici,152.82,1,1,Warici 6,760,Class III gas giant,2004.9706,false,true,1,0.0033,2011.4392544999998,2011.4283021834412,Warici,M (Red dwarf) Star,4,0,0.5752,Va,1776,0.5752,false,3216,Warici 6 g,2024.7788,Icy body,88,2230.8379
Praea Euq VX-S b17-5,778.02,2,1,Praea Euq VX-S b17-5 ABC 1,756,Class III gas giant,1348.0807,true,false,0,0.0007,1508.4422144999999,1508.4418449316122,Praea Euq VX-S b17-5 A,M (Red dwarf) Star,3,0,0.5693,,1450,0.5693,false,3309,Praea Euq VX-S b17-5 ABC 1 h,1353.6777,Icy body,82,4425.1821
HIP 117394,188.00,4,1,HIP 117394 AB 8,755,Class III gas giant,1920.6532,true,false,0,0.0007,1914.7320855,1914.7316163905814,HIP 117394 C,M (Red dwarf) Star,1,37826.0391,0.6477,Va,1032,0.6477,false,3613,HIP 117394 AB 8 g a,1897.9714,Rocky body,741,535.3351
Mel 111 Sector RI-T c3-7,305.81,2,1,Mel 111 Sector RI-T c3-7 AB 3,755,Class III gas giant,2128,true,false,0,0.0037,2029.9024395,2029.8885447702467,Mel 111 Sector RI-T c3-7 B,M (Red dwarf) Star,6,292,0.4676,,1302,0.4676,false,2710,Mel 111 Sector RI-T c3-7 AB 3 h,1994.429,Rocky body,165,987.9265
Wregoe RP-E d12-0,800.30,3,1,Wregoe RP-E d12-0 ABC 2,755,Class III gas giant,3235.1443,true,false,1,0.0018,3364.1919089999997,3364.186459004693,Wregoe RP-E d12-0 B,M (Red dwarf) Star,5,71.9082,0.5274,Va,2074,0.5274,false,2848,Wregoe RP-E d12-0 ABC 2 h,3165.5193,Icy body,82,3071.7891
Wregoe WD-R c18-0,933.42,3,1,Wregoe WD-R c18-0 AB 2,749,Class III gas giant,2823,true,false,0,0.0144,2650.7644605,2650.4896149920055,Wregoe WD-R c18-0 B,M (Red dwarf) Star,2,898,0.5674,,11234,0.5674,false,3548,Wregoe WD-R c18-0 AB 2 f,2825,Rocky body,152,1154.7693
LP 1-52,66.57,1,1,LP 1-52 3,748,Class III gas giant,2012.3104,false,true,1,0.0016,2015.0819909999998,2015.0794116934005,LP 1-52,M (Red dwarf) Star,2,0,0.5935,V,3404,0.5935,false,3452,LP 1-52 3 h,2016.541,Icy body,84,2928.0459
Synuefe QP-K b55-7,434.61,1,1,Synuefe QP-K b55-7 9,746,Class III gas giant,1443,false,false,0,0.0129,1447.214301,1447.093880524084,Synuefe QP-K b55-7,M (Red dwarf) Star,1,0,0.6225,,272,0.6225,false,3610,Synuefe QP-K b55-7 9 h,1439.1184,Icy body,106,2890.364
Col 359 Sector TE-F c12-15,757.31,4,1,Col 359 Sector TE-F c12-15 ABCD 1,745,Class III gas giant,2090,true,false,0,0,1799.4619305,1799.4619305,Col 359 Sector TE-F c12-15 B,M (Red dwarf) Star,5,10,0.5682,,11886,0.5682,false,2920,Col 359 Sector TE-F c12-15 ABCD 1 g,2118,Rocky body,180,1239.0569
Col 359 Sector BO-L b23-4,875.66,2,2,Col 359 Sector BO-L b23-4 AB 6,741,Class III gas giant,2686,true,false,0,0.0019,2739.0883455,2739.0834014410743,Col 359 Sector BO-L b23-4 B,M (Red dwarf) Star,4,159,0.5867,,1388,0.5873,false,3196,Col 359 Sector BO-L b23-4 AB 6 g,2691,Icy body,74,2755.9475
HIP 4251,366.50,3,1,HIP 4251 AB 4,740,Class III gas giant,6174.1338,true,false,1,0.0114,6119.497917000001,6119.100259105028,HIP 4251 B,M (Red dwarf) Star,8,719.827,0.4718,Va,1566,0.4718,false,2424,HIP 4251 AB 4 h,6067.9565,Icy body,97,5970.2515
Pencil Sector KM-W d1-38,833.29,3,1,Pencil Sector KM-W d1-38 A 10,737,Class III gas giant,2890.072,false,false,0,0.0177,2862.1429784999996,2861.694602992491,Pencil Sector KM-W d1-38 C,M (Red dwarf) Star,9,353843.5938,0.4158,,786,0.4158,false,2231,Pencil Sector KM-W d1-38 A 10 g a,2894.6616,Rocky body,157,661.5749
Synuefe DQ-Q c20-0,611.78,4,2,Synuefe DQ-Q c20-0 ABC 4,735,Class III gas giant,2294,true,false,0,0.0005,2232.0992655,2232.0989864875746,Synuefe DQ-Q c20-0 C,M (Red dwarf) Star,4,311.1,0.5555,Va,7576,0.5555,false,3216,Synuefe DQ-Q c20-0 ABC 4 g,2282,Icy body,114,2106.3716
HIP 111808,163.43,3,2,HIP 111808 ABC 8,731,Class III gas giant,3072.624,true,false,1,0.0019,3070.3278645,3070.322322553203,HIP 111808 C,M (Red dwarf) Star,9,46.5623,0.3358,VI,7986,0.5289,false,2082,HIP 111808 ABC 8 g,3048.7632,Icy body,74,2370.3567
Ross 340,116.68,6,3,Ross 340 ABC 1,729,Class III gas giant,1933.4299,true,false,2,0.0017,1895.520393,1895.517653971053,Ross 340 B,M (Red dwarf) Star,9,318.4515,0.377,Va,400,0.4915,false,2269,Ross 340 ABC 1 g,1902.918,Rocky body,190,1544.6923
Synuefai YT-G c27-13,442.67,2,1,Synuefai YT-G c27-13 AB 4,728,Class III gas giant,1936.9227,true,false,1,0.0048,1876.6580040000001,1876.6363847752666,Synuefai YT-G c27-13 B,M (Red dwarf) Star,3,182.2569,0.5806,Va,5144,0.5806,false,3368,Synuefai YT-G c27-13 AB 4 e,1932.6512,Rocky body,163,1608.824
Synuefe CF-P c22-15,630.86,4,1,Synuefe CF-P c22-15 AB 3,724,Class III gas giant,1727.5737,true,false,2,0.0007,1849.5121319999998,1849.511678869472,Synuefe CF-P c22-15 B,M (Red dwarf) Star,3,568.7864,0.6754,Va,446,0.6754,false,3296,Synuefe CF-P c22-15 AB 3 g,1729.4535,Rocky body,168,1276.1785
