===== PARAMETERS =====
Total rows : 437
Reference system: Sol
Area of search : 1000 ly
Max distance from star 1000 ls
Gas types Class III gas giant +Class IV gas giant +Class V gas giant +Gas giant with ammonia-based life +Gas giant with water-based life +Hellium-rich gas giant
Ref star types : M (Red giant) Star + M (Red dwarf) Star + M (Red super giant) Star + T Tauri Star
==========
System name,Gas Body Name,Distance from Sol (ly),Gas Body Surface Temperature (K),Gas Sub Type,Gas distance from arrival (ls),Gas has multiple stars ?,Ref Star Name,Ref Star Sub Type,Ref Star Temp Class,Ref Star Distance from arrival (ls),Ref Star Radius,Ref Star Luminosity,Ref Star Age,Ref Star Temperature,8th Moon Name,8th Moon Distance from arrival (ls),8th Moon Sub Type,8th Moon Surface Temperature (K),8th Moon Radius
Synuefe RD-J c25-16,Synuefe RD-J c25-16 2,489.92,455,Class III gas giant,826.238,false,Synuefe RD-J c25-16,M (Red dwarf) Star,2,0,0.5879,,1172,3539,Synuefe RD-J c25-16 2 g a,829.4688,Icy body,108,744.5179
Wredguia BH-V b57-1,Wredguia BH-V b57-1 5,977.53,433,Class III gas giant,685.2268,false,Wredguia BH-V b57-1,M (Red dwarf) Star,4,0,0.54,,8038,3230,Wredguia BH-V b57-1 5 g,703,Icy body,94,2684.9866
Lyncis Sector EG-Y d124,Lyncis Sector EG-Y d124 CD 1,178.20,426,Class III gas giant,34370.8867,true,Lyncis Sector EG-Y d124 D,M (Red dwarf) Star,7,33813.25,0.4131,Va,1614,2537,Lyncis Sector EG-Y d124 CD 1 h,34375.9375,Rocky body,152,906.521
Can Zu,Can Zu 1,147.33,424,Class III gas giant,844.4069,false,Can Zu,M (Red dwarf) Star,5,0,0.5175,Va,5580,3003,Can Zu 1 f,834.9318,Icy body,86,1879.8236
Col 285 Sector ZI-D b27-9,Col 285 Sector ZI-D b27-9 3,247.66,411,Class III gas giant,732.5548,false,Col 285 Sector ZI-D b27-9,M (Red dwarf) Star,5,0,0.5456,Va,9896,3015,Col 285 Sector ZI-D b27-9 3 h,731,Icy body,100,1739.2755
HIP 10653,HIP 10653 B 7,235.52,407,Class III gas giant,178176.75,false,HIP 10653 B,M (Red dwarf) Star,1,178360.75,0.6698,Va,1198,3652,HIP 10653 B 7 g,178244.875,Icy body,130,2445.5842
2 Lyncis,2 Lyncis BC 5,156.60,405,Class III gas giant,29511.6699,true,2 Lyncis C,M (Red dwarf) Star,7,30305.3906,0.4718,Va,734,2503,2 Lyncis BC 5 g,29514.5156,Rocky body,248,1033.2463
M7 Sector DV-Y d9,M7 Sector DV-Y d9 BC 1,834.42,395,Class III gas giant,29138.6211,true,M7 Sector DV-Y d9 C,M (Red dwarf) Star,9,29989.5586,0.4375,Va,1330,2273,M7 Sector DV-Y d9 BC 1 h,29107.877,Icy body,120,2014.2864
Praea Euq ZF-W c2-8,Praea Euq ZF-W c2-8 AB 1,481.47,393,Class III gas giant,1809.2472,true,Praea Euq ZF-W c2-8 B,M (Red dwarf) Star,8,1017.0209,0.4354,,12776,2405,Praea Euq ZF-W c2-8 AB 1 g,1782.8687,Rocky body,178,1881.6069
Hyades Sector OS-T b3-3,Hyades Sector OS-T b3-3 7,233.61,391,Class III gas giant,862.1637,false,Hyades Sector OS-T b3-3,M (Red dwarf) Star,5,0,0.5787,Va,516,3046,Hyades Sector OS-T b3-3 7 h,862.6721,Icy body,93,2100.7014
Wredguia IU-O b33-4,Wredguia IU-O b33-4 ABCD 1,497.19,384,Class III gas giant,2155.2571,true,Wredguia IU-O b33-4 C,M (Red dwarf) Star,4,1354.9783,0.4865,Va,4732,3102,Wredguia IU-O b33-4 ABCD 1 g,2351.6211,Icy body,79,1630.8953
Col 359 Sector BP-P c6-20,Col 359 Sector BP-P c6-20 6,446.55,380,Class III gas giant,745.6884,false,Col 359 Sector BP-P c6-20,M (Red dwarf) Star,1,0,0.7076,Va,270,3614,Col 359 Sector BP-P c6-20 6 g,740.5895,Rocky body,129,777.3072
Hotaiko,Hotaiko BC 2,133.74,367,Class III gas giant,121218.3203,true,Hotaiko C,M (Red dwarf) Star,9,120564.2812,0.4661,Va,1308,2291,Hotaiko BC 2 g,121215.5,Icy body,101,1900.9191
Synuefai OS-R d5-2,Synuefai OS-R d5-2 AB 7,692.25,367,Class III gas giant,780.0099,true,Synuefai OS-R d5-2 B,M (Red dwarf) Star,2,58.0552,0.5847,Va,5858,3451,Synuefai OS-R d5-2 AB 7 g,788.3012,Rocky body,232,801.0667
Col 285 Sector SI-G b12-0,Col 285 Sector SI-G b12-0 4,186.39,365,Class III gas giant,845.0787,false,Col 285 Sector SI-G b12-0,M (Red dwarf) Star,5,0,0.5388,Va,672,2904,Col 285 Sector SI-G b12-0 4 g,843.2023,Icy body,88,1929.009
Col 285 Sector OS-T d3-143,Col 285 Sector OS-T d3-143 AB 1,178.21,365,Class III gas giant,1731.4464,true,Col 285 Sector OS-T d3-143 B,M (Red dwarf) Star,6,773.5294,0.4691,Va,1114,2656,Col 285 Sector OS-T d3-143 AB 1 h,1722.7771,Icy body,83,2437.6089
Col 285 Sector TQ-J b10-0,Col 285 Sector TQ-J b10-0 3,282.53,365,Class III gas giant,721.0302,false,Col 285 Sector TQ-J b10-0,M (Red dwarf) Star,3,0,0.5753,Va,6070,3380,Col 285 Sector TQ-J b10-0 3 h,744.5928,Icy body,94,1909.6497
HIP 69446,HIP 69446 AB 1,201.08,365,Class III gas giant,1990,true,HIP 69446 B,M (Red dwarf) Star,7,1790.2943,0.4226,Va,5268,2595,HIP 69446 AB 1 f,1981,Icy body,80,2456.4087
HIP 52065,HIP 52065 AB 1,213.29,365,Class III gas giant,1196.8439,true,HIP 52065 B,M (Red dwarf) Star,3,465.4578,0.5646,Va,9914,3304,HIP 52065 AB 1 h,1250.3052,Rocky body,223,650.5503
Kebes,Kebes 2,127.78,363,Class III gas giant,750.3961,false,Kebes,M (Red dwarf) Star,5,0,0.5882,Va,12614,2817,Kebes 2 g,747.6055,Icy body,87,1933.9064
Hind Sector GB-W b2-1,Hind Sector GB-W b2-1 8,612.16,361,Class III gas giant,580,false,Hind Sector GB-W b2-1,M (Red dwarf) Star,3,0,0.5155,,404,3323,Hind Sector GB-W b2-1 8 g a,585,Icy body,107,583.3501
Aries Dark Region NN-T c3-5,Aries Dark Region NN-T c3-5 8,261.90,360,Class III gas giant,946.2346,false,Aries Dark Region NN-T c3-5,M (Red dwarf) Star,1,0,0.6761,Va,734,3699,Aries Dark Region NN-T c3-5 8 h,922.0644,Icy body,99,2909.9751
Stock 1 Sector UY-Y b14-7,Stock 1 Sector UY-Y b14-7 4,962.41,354,Class III gas giant,914.1226,false,Stock 1 Sector UY-Y b14-7,M (Red dwarf) Star,5,0,0.5682,Va,8016,3085,Stock 1 Sector UY-Y b14-7 4 f a,914.8367,Icy body,85,831.1979
Col 285 Sector BU-S b19-2,Col 285 Sector BU-S b19-2 9,235.33,352,Class III gas giant,554.3984,false,Col 285 Sector BU-S b19-2,M (Red dwarf) Star,3,0,0.5677,Va,330,3276,Col 285 Sector BU-S b19-2 9 h,562.5401,Icy body,112,933.4656
HIP 78878,HIP 78878 ABC 1,251.08,351,Class III gas giant,1423.0935,true,HIP 78878 C,M (Red dwarf) Star,1,955.9819,0.5844,Va,5768,3659,HIP 78878 ABC 1 g,1412.3588,Rocky body,174,1198.1631
Col 285 Sector KV-H b25-6,Col 285 Sector KV-H b25-6 2,202.36,345,Class III gas giant,565.4092,false,Col 285 Sector KV-H b25-6,M (Red dwarf) Star,6,0,0.509,Va,6140,2688,Col 285 Sector KV-H b25-6 2 h,557.8953,Icy body,85,1874.8705
HIP 110238,HIP 110238 BC 1,656.27,343,Class III gas giant,270764.625,true,HIP 110238 C,M (Red dwarf) Star,6,269862.5938,0.4701,Va,8640,2766,HIP 110238 BC 1 h,270744.375,Icy body,98,1235.5209
Col 285 Sector CB-O d6-105,Col 285 Sector CB-O d6-105 AB 1,232.12,338,Class III gas giant,2596.4573,true,Col 285 Sector CB-O d6-105 B,M (Red dwarf) Star,4,1760.8151,0.5317,Va,2192,3178,Col 285 Sector CB-O d6-105 AB 1 g,2579.4089,Rocky body,182,1803.2004
G 188-9,G 188-9 3,43.44,338,Class III gas giant,593.8826,false,G 188-9,M (Red dwarf) Star,3,0,0.5782,V,10172,3370,G 188-9 3 h,587.6205,Icy body,96,1357.1241
NGC 1514 Sector DL-O b6-0,NGC 1514 Sector DL-O b6-0 ABC 1,828.55,338,Class III gas giant,1414.0851,true,NGC 1514 Sector DL-O b6-0 C,M (Red dwarf) Star,9,935.188,0.3383,VI,13061,2059,NGC 1514 Sector DL-O b6-0 ABC 1 h,1424.769,Icy body,78,2587.0583
Wredguia UV-I b9-0,Wredguia UV-I b9-0 3,869.47,338,Class III gas giant,293.2068,false,Wredguia UV-I b9-0,M (Red dwarf) Star,4,0,0.5634,Va,12336,3140,Wredguia UV-I b9-0 3 f a,291.3934,Icy body,423,923.8882
Synuefe JZ-F b44-0,Synuefe JZ-F b44-0 6,746.36,337,Class III gas giant,680.8491,false,Synuefe JZ-F b44-0,M (Red dwarf) Star,4,0,0.6084,Va,304,3183,Synuefe JZ-F b44-0 6 h,690.3817,Icy body,95,1372.9259
Swoilz JX-B d27,Swoilz JX-B d27 AB 2,590.96,337,Class III gas giant,786.3624,true,Swoilz JX-B d27 B,M (Red dwarf) Star,5,91.2752,0.5071,,2032,2987,Swoilz JX-B d27 AB 2 h,797.1367,Rocky body,521,927.1363
Synuefai JZ-I c12-1,Synuefai JZ-I c12-1 AB 3,770.60,334,Class III gas giant,931,true,Synuefai JZ-I c12-1 B,M (Red dwarf) Star,6,6,0.4749,,7488,2756,Synuefai JZ-I c12-1 AB 3 h,939,Icy body,114,1919.2738
HIP 16146,HIP 16146 ABC 1,431.45,333,Class III gas giant,1807.3566,true,HIP 16146 C,M (Red dwarf) Star,9,1088.9304,0.3753,Va,9596,2187,HIP 16146 ABC 1 g a,1804.0648,Rocky body,225,408.6804
Col 285 Sector WM-F b26-7,Col 285 Sector WM-F b26-7 AB 1,204.31,330,Class III gas giant,780.1443,true,Col 285 Sector WM-F b26-7 B,M (Red dwarf) Star,9,135.4987,0.4379,Va,11474,2334,Col 285 Sector WM-F b26-7 AB 1 h,779.2112,Icy body,105,2448.49
Synuefai YT-V b49-5,Synuefai YT-V b49-5 3,660.83,328,Class III gas giant,472.6545,false,Synuefai YT-V b49-5,M (Red dwarf) Star,3,0,0.6017,,12877,3296,Synuefai YT-V b49-5 3 h,472.2947,Rocky body,155,721.1128
HR 728,HR 728 CD 2,168.85,320,Class III gas giant,8643.6885,true,HR 728 D,M (Red dwarf) Star,8,8974.0742,0.4319,Va,1864,2493,HR 728 CD 2 g a,8643.4355,Rocky body,303,409.7987
Sutekh,Sutekh 3,58.83,318,Class III gas giant,820.6659,false,Sutekh,M (Red dwarf) Star,5,0,0.4948,Va,4254,2877,Sutekh 3 f a,812.9663,Icy body,81,813.3661
Col 285 Sector CM-C c13-10,Col 285 Sector CM-C c13-10 AB 1,207.43,318,Class III gas giant,1417,true,Col 285 Sector CM-C c13-10 B,M (Red dwarf) Star,9,680,0.3345,,2260,2083,Col 285 Sector CM-C c13-10 AB 1 h,1415,Rocky body,132,1541.5385
Synuefai UP-T b50-1,Synuefai UP-T b50-1 2,902.42,317,Class III gas giant,684.3395,false,Synuefai UP-T b50-1,M (Red dwarf) Star,5,0,0.4696,,6754,2953,Synuefai UP-T b50-1 2 f a,694.0106,Icy body,87,1118.978
Bhaguti,Bhaguti 3,58.44,313,Class III gas giant,979.8001,false,Bhaguti,M (Red dwarf) Star,5,0,0.5346,Va,12182,2850,Bhaguti 3 g,984.5754,Icy body,77,2324.6489
Swoilz PN-B b4-0,Swoilz PN-B b4-0 7,854.26,312,Class III gas giant,998.7448,false,Swoilz PN-B b4-0,M (Red dwarf) Star,2,0,0.5365,Va,10960,3428,Swoilz PN-B b4-0 7 g,1004.7418,Icy body,90,1752.6122
Chnouk,Chnouk 2,75.78,311,Class III gas giant,476.1041,false,Chnouk,M (Red dwarf) Star,5,0,0.4838,Va,7632,2920,Chnouk 2 g,471.7269,Icy body,107,2236.6201
Unktomi,Unktomi 3,87.41,310,Class III gas giant,697.2322,false,Unktomi,M (Red dwarf) Star,6,0,0.4638,Va,1178,2732,Unktomi 3 f,713.4833,Icy body,76,2170.4783
Synuefe YH-R b50-1,Synuefe YH-R b50-1 3,387.99,308,Class III gas giant,520.5195,false,Synuefe YH-R b50-1,M (Red dwarf) Star,6,0,0.4423,Va,7630,2624,Synuefe YH-R b50-1 3 h,520.7808,Icy body,82,1420.859
IC 2391 Sector CL-X b1-4,IC 2391 Sector CL-X b1-4 7,545.26,304,Class III gas giant,563.6929,false,IC 2391 Sector CL-X b1-4,M (Red dwarf) Star,3,0,0.571,Va,340,3389,IC 2391 Sector CL-X b1-4 7 h,556,Rocky body,108,1019.4305
Col 285 Sector BT-D b27-8,Col 285 Sector BT-D b27-8 ABC 4,218.07,301,Class III gas giant,1022.7579,true,Col 285 Sector BT-D b27-8 B,M (Red dwarf) Star,9,60.3445,0.4232,Va,994,2328,Col 285 Sector BT-D b27-8 ABC 4 h,1024.0153,Icy body,84,2330.3616
Col 359 Sector GB-A b16-5,Col 359 Sector GB-A b16-5 6,556.30,300,Class III gas giant,983,false,Col 359 Sector GB-A b16-5,M (Red dwarf) Star,5,0,0.511,,4998,2925,Col 359 Sector GB-A b16-5 6 h,981,Icy body,77,2635.2891
Praea Euq VM-B b1-0,Praea Euq VM-B b1-0 3,607.52,299,Class III gas giant,537.2948,false,Praea Euq VM-B b1-0,M (Red dwarf) Star,6,0,0.4872,,6484,2696,Praea Euq VM-B b1-0 3 g,547,Icy body,89,1714.0564
HIP 87414,HIP 87414 CD 2,236.00,295,Class III gas giant,12479.4375,true,HIP 87414 D,M (Red dwarf) Star,6,13324.3799,0.4746,Va,5336,2727,HIP 87414 CD 2 h,12473.3389,Rocky body,178,629.9605
Swoilz SZ-U b7-2,Swoilz SZ-U b7-2 8,513.92,295,Class III gas giant,958.6342,false,Swoilz SZ-U b7-2,M (Red dwarf) Star,3,0,0.5202,Va,8672,3282,Swoilz SZ-U b7-2 8 g,967.7724,Icy body,84,1418.0669
Col 285 Sector VN-P b7-2,Col 285 Sector VN-P b7-2 2,277.20,294,Class III gas giant,978.2824,false,Col 285 Sector VN-P b7-2,M (Red dwarf) Star,3,0,0.5504,Va,5704,3330,Col 285 Sector VN-P b7-2 2 f,978.6652,Icy body,82,1431.1041
HIP 1274,HIP 1274 BC 9,211.53,293,Class III gas giant,369429.125,true,HIP 1274 C,M (Red dwarf) Star,9,369710.6562,0.3457,VI,2354,2096,HIP 1274 BC 9 g,369427.0625,Icy body,80,2124.7295
Synuefe UI-T c19-7,Synuefe UI-T c19-7 BC 2,519.86,293,Class III gas giant,16178,true,Synuefe UI-T c19-7 B,M (Red dwarf) Star,5,15973,0.4872,,4644,2916,Synuefe UI-T c19-7 BC 2 h,16158,Icy body,128,1701.3585
Wregoe AS-J b22-0,Wregoe AS-J b22-0 1,588.99,291,Class III gas giant,666.1685,false,Wregoe AS-J b22-0,M (Red dwarf) Star,2,0,0.5359,,5968,3467,Wregoe AS-J b22-0 1 h,666.5924,Rocky body,114,531.0786
HIP 115181,HIP 115181 AB 1,205.26,288,Class III gas giant,3685.8784,true,HIP 115181 B,M (Red dwarf) Star,2,2861.0674,0.6186,Va,8522,3417,HIP 115181 AB 1 g,3753.7615,Icy body,76,1719.0691
Musca Dark Region HR-W d1-104,Musca Dark Region HR-W d1-104 C 8,479.82,286,Class III gas giant,286869,false,Musca Dark Region HR-W d1-104 C,M (Red dwarf) Star,4,286406,0.6503,,606,3181,Musca Dark Region HR-W d1-104 C 8 g,286874,Icy body,83,1917.0092
Col 359 Sector NZ-X b5-0,Col 359 Sector NZ-X b5-0 1,695.36,284,Class III gas giant,915.5946,false,Col 359 Sector NZ-X b5-0,M (Red dwarf) Star,5,0,0.5634,Va,4600,3000,Col 359 Sector NZ-X b5-0 1 g,912.9189,Icy body,80,1894.197
Monto,Monto ABCD 1,88.21,281,Class III gas giant,1302.5034,true,Monto B,M (Red dwarf) Star,9,421.0195,0.3812,VI,1062,2128,Monto ABCD 1 f,1312.6492,Icy body,105,1213.306
B92 Sector PN-T c3-1,B92 Sector PN-T c3-1 A 5,658.41,280,Class III gas giant,873.7556,false,B92 Sector PN-T c3-1 A,M (Red dwarf) Star,2,0,0.6702,Va,10738,3425,B92 Sector PN-T c3-1 A 5 i,884.7476,Icy body,112,2630.0105
Praea Euq OX-T c3-15,Praea Euq OX-T c3-15 CD 3,527.06,279,Class III gas giant,62469,true,Praea Euq OX-T c3-15 D,M (Red dwarf) Star,9,62420,0.4023,,5972,2301,Praea Euq OX-T c3-15 CD 3 h,62474,Icy body,110,1044.8938
