System name,Distance from Sol (ly),Counting moons of moons,System stars count,System suitable stars count,Gas Body Name,Gas Body Surface Temperature (K),Gas Sub Type,Gas distance from arrival (ls),Gas has multiple stars ?,Gas star as orbit center ?,Gas orbit centers count,Gas orbital eccentricity,Gas semi major axis (ls),Gas semi minor axis (ls),Ref Star Name,Ref Star Sub Type,Ref Star Temp Class,Ref Star Distance from arrival (ls),Ref Star Radius,Ref Star Luminosity,Ref Star Age,Ref Star Temperature,Biggest Suitable Star Radius,8th Moon Name,8th Moon Distance from arrival (ls),8th Moon Sub Type,8th Moon Surface Temperature (K),8th Moon Radius,Star Types,Is populated,Has M or TT Star ?,Coldest M or TT Star temp.,Coldest M or TT Star lum.,Has Toroid Station
Puppis Sector GL-Y b8,95.08,true,1,1,Puppis Sector GL-Y b8,1989,L (Brown dwarf) Star,0,false,false,0,,0,0,Puppis Sector GL-Y b8,L (Brown dwarf) Star,9,0,0.369,V,3704,1989,0.369,Puppis Sector GL-Y b8 5 a,2525,Icy body,20,506.6687,-L (Brown dwarf) Star-,0,false,,,false
NLTT 34715,72.19,true,2,2,NLTT 34715 B,1989,L (Brown dwarf) Star,72143,false,false,1,0.1628,58674.105711,57891.33975095817,NLTT 34715 B,L (Brown dwarf) Star,9,72143,0.3611,V,7888,1989,0.6893,NLTT 34715 B 5,72185,Icy body,55,10283.3682,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,3967,V,false
Khaka,56.51,true,2,2,Khaka B,1988,L (Brown dwarf) Star,126842,false,false,1,0.4267,60954.857964,55127.1607276229,Khaka B,L (Brown dwarf) Star,9,126842,0.3657,V,2202,1988,0.6231,Khaka B 4,128662,Class I gas giant,36,42011.6367,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,3224,Va,false
Ehi,54.33,true,1,1,Ehi,1986,L (Brown dwarf) Star,0,false,false,0,,0,0,Ehi,L (Brown dwarf) Star,9,0,0.3487,V,660,1986,0.3487,Ehi 11 a,1350,Icy body,27,914.5408,-L (Brown dwarf) Star-,1,false,,,false
Trianguli Sector LS-T b3-6,94.12,true,1,1,Trianguli Sector LS-T b3-6,1985,L (Brown dwarf) Star,0,false,false,0,,0,0,Trianguli Sector LS-T b3-6,L (Brown dwarf) Star,9,0,0.4077,V,9722,1985,0.4077,Trianguli Sector LS-T b3-6 3,437,Icy body,51,1417.0496,-L (Brown dwarf) Star-,0,false,,,false
Tascheter Sector EG-Y d106,65.04,true,1,1,Tascheter Sector EG-Y d106,1984,L (Brown dwarf) Star,0,false,false,0,,0,0,Tascheter Sector EG-Y d106,L (Brown dwarf) Star,9,0,0.3074,V,1676,1984,0.3074,Tascheter Sector EG-Y d106 6,1972,Icy body,21,1945.1931,-L (Brown dwarf) Star-,0,false,,,false
Alrai Sector BP-R a4-0,61.66,true,1,1,Alrai Sector BP-R a4-0,1983,L (Brown dwarf) Star,0,false,false,0,,0,0,Alrai Sector BP-R a4-0,L (Brown dwarf) Star,9,0,0.3544,V,602,1983,0.3544,Alrai Sector BP-R a4-0 6 a,3289,Icy body,20,2796.0535,-L (Brown dwarf) Star-,0,false,,,false
LTT 6772,94.23,true,2,2,LTT 6772 B,1981,L (Brown dwarf) Star,80507,false,false,1,0.0319,61122.623445000005,61091.51603276031,LTT 6772 B,L (Brown dwarf) Star,9,80507,0.3832,V,1842,1981,0.7793,LTT 6772 B 3 a,79979,Icy body,28,1076.9744,-K (Yellow-Orange) Star-L (Brown dwarf) Star-,1,false,,,false
Ross 878,63.10,true,3,3,Ross 878 C,1981,L (Brown dwarf) Star,123312,false,false,1,0.2691,83449.4544585,80371.19114729854,Ross 878 C,L (Brown dwarf) Star,9,123312,0.3369,V,974,1981,0.5478,Ross 878 C 3,123646,Icy body,51,2608.918,-L (Brown dwarf) Star-M (Red dwarf) Star-M (Red dwarf) Star-,1,true,2083,VI,false
Feige 22,86.95,true,1,1,Feige 22,1980,L (Brown dwarf) Star,0,false,false,0,,0,0,Feige 22,L (Brown dwarf) Star,9,0,0.3436,V,7194,1980,0.3436,Feige 22 2 b,1249,Icy body,55,1163.8093,-L (Brown dwarf) Star-,1,false,,,false
Hyades Sector YW-I b10-3,90.75,true,1,1,Hyades Sector YW-I b10-3,1978,L (Brown dwarf) Star,0,false,false,0,,0,0,Hyades Sector YW-I b10-3,L (Brown dwarf) Star,9,0,0.3711,V,5240,1978,0.3711,Hyades Sector YW-I b10-3 5,3714,Icy body,20,1771.3711,-L (Brown dwarf) Star-,0,false,,,false
Quapa,47.81,true,1,1,Quapa,1977,L (Brown dwarf) Star,0,false,false,0,,0,0,Quapa,L (Brown dwarf) Star,9,0,0.326,V,3040,1977,0.326,Quapa 1 e,817,Icy body,40,2227.8413,-L (Brown dwarf) Star-,1,false,,,true
LHS 4058,41.84,true,4,4,LHS 4058 D,1976,L (Brown dwarf) Star,19925,false,false,1,0.0871,16020.755127000002,15959.869422722795,LHS 4058 D,L (Brown dwarf) Star,9,19925,0.3308,V,9208,1976,0.4819,LHS 4058 D 5,20070,Icy body,46,5933.3335,-M (Red dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-,1,true,2758,V,false
Khakmo,91.99,true,2,2,Khakmo B,1971,L (Brown dwarf) Star,32605,false,false,1,0.0425,20240.840411999998,20222.552140973014,Khakmo B,L (Brown dwarf) Star,9,32605,0.3246,V,4804,1971,0.4328,Khakmo B 6,32932,Class I gas giant,44,39749.6602,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,2455,Va,false
G 123-49,71.05,true,2,2,G 123-49 B,1971,L (Brown dwarf) Star,233572,false,false,1,0.152,144696.57965099998,143015.27680824592,G 123-49 B,L (Brown dwarf) Star,9,233572,0.3745,V,9206,1971,0.4801,G 123-49 B 6,232288,Icy body,31,6816.9136,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,2753,V,false
BD+34 1378,95.97,true,2,2,BD+34 1378 B,1969,L (Brown dwarf) Star,4996,false,false,1,0.1109,2910.0474584999997,2892.0970351456253,BD+34 1378 B,L (Brown dwarf) Star,9,4996,0.3249,V,10262,1969,0.4353,BD+34 1378 B 6,4932,Icy body,133,3307.8767,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,2483,V,true
LP 353-74,83.65,true,3,3,LP 353-74 C,1969,L (Brown dwarf) Star,278120,false,false,1,0.1733,192977.0599185,190057.13997836047,LP 353-74 C,L (Brown dwarf) Star,9,278120,0.3453,V,7862,1969,0.5154,LP 353-74 C 5,280270,Icy body,24,9609.0225,-M (Red dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-,1,true,2991,V,false
NLTT 6667,81.58,true,3,3,NLTT 6667 B,1967,L (Brown dwarf) Star,12732,false,false,2,0.106,7598.2992345,7555.4914025151,NLTT 6667 B,L (Brown dwarf) Star,9,12732,0.3834,V,6986,1967,0.525,NLTT 6667 B 5 a,13774,Icy body,53,1056.5566,-M (Red dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-,1,true,3111,V,false
Ngalkin,79.42,true,2,2,Ngalkin B,1966,L (Brown dwarf) Star,26637,false,false,1,0.1924,21574.98018,21171.88587172357,Ngalkin B,L (Brown dwarf) Star,9,26637,0.3207,V,6190,1966,0.4939,Ngalkin B 5,26264,Class I gas giant,41,38382.3672,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,3209,Va,false
Jita Ten,79.86,true,2,2,Jita Ten B,1966,L (Brown dwarf) Star,7601,false,false,1,0.4392,5589.7043085000005,5021.730620702426,Jita Ten B,L (Brown dwarf) Star,9,7601,0.307,V,4636,1966,0.4493,Jita Ten B 6,7554,Icy body,68,4907.5889,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,3037,Va,false
Tascheter Sector FG-X b1-6,92.20,true,2,2,Tascheter Sector FG-X b1-6 B,1964,L (Brown dwarf) Star,93543,false,false,1,0.0209,64219.1989725,64205.17164636202,Tascheter Sector FG-X b1-6 B,L (Brown dwarf) Star,9,93543,0.2974,V,12338,1964,0.5691,Tascheter Sector FG-X b1-6 B 7,95494,Icy body,26,7320.1665,-M (Red dwarf) Star-L (Brown dwarf) Star-,0,true,2949,Va,false
Core Sys Sector EB-O a6-1,38.91,true,1,1,Core Sys Sector EB-O a6-1,1960,L (Brown dwarf) Star,0,false,false,0,,0,0,Core Sys Sector EB-O a6-1,L (Brown dwarf) Star,9,0,0.3842,V,9044,1960,0.3842,Core Sys Sector EB-O a6-1 7,2661,Icy body,20,9616.4131,-L (Brown dwarf) Star-,0,false,,,false
Teng Yeh,31.68,true,5,5,Teng Yeh E,1960,L (Brown dwarf) Star,49964,false,false,2,0.0231,1097.2620945,1096.969300422203,Teng Yeh E,L (Brown dwarf) Star,9,49964,0.345,V,1412,1960,1.024,Teng Yeh E 7,49851,High metal content world,201,620.2763,-M (Red dwarf) Star-L (Brown dwarf) Star-M (Red dwarf) Star-F (White) Star-K (Yellow-Orange) Star-,1,true,3101,Va,false
LTT 17149,77.14,true,2,2,LTT 17149 B,1959,L (Brown dwarf) Star,65969,false,false,1,0.0338,52996.1773185,52965.89619102777,LTT 17149 B,L (Brown dwarf) Star,9,65969,0.3654,V,7786,1959,0.7825,LTT 17149 B 7,64893,Icy body,41,5283.7661,-K (Yellow-Orange) Star-L (Brown dwarf) Star-,1,false,,,false
LTT 1353,96.64,true,2,2,LTT 1353 B,1958,L (Brown dwarf) Star,77646,false,false,1,0.3469,43875.214227,41150.65651613316,LTT 1353 B,L (Brown dwarf) Star,9,77646,0.3398,V,8262,1958,0.6516,LTT 1353 B 6,78767,Icy body,29,11280.7568,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,3690,V,false
Momoirent,59.63,true,3,3,Momoirent C,1956,L (Brown dwarf) Star,240761,false,false,1,0.2115,170645.73786,166785.389551769,Momoirent C,L (Brown dwarf) Star,9,240761,0.3219,V,10860,1956,0.6242,Momoirent C 6,241576,Icy body,34,5470.9224,-L (Brown dwarf) Star-M (Red dwarf) Star-M (Red dwarf) Star-,1,true,2004,VI,false
Col 285 Sector KP-G a40-1,87.31,true,1,1,Col 285 Sector KP-G a40-1,1954,L (Brown dwarf) Star,0,false,false,0,,0,0,Col 285 Sector KP-G a40-1,L (Brown dwarf) Star,9,0,0.3338,V,280,1954,0.3338,Col 285 Sector KP-G a40-1 5,4644,Icy body,20,5404.2075,-L (Brown dwarf) Star-,0,false,,,false
Piscium Sector SZ-O a6-1,72.19,true,2,2,Piscium Sector SZ-O a6-1 A,1954,L (Brown dwarf) Star,0,false,false,1,0.3269,11225.0675745,10608.350403558134,Piscium Sector SZ-O a6-1 A,L (Brown dwarf) Star,9,0,0.3236,V,12894,1954,0.3236,Piscium Sector SZ-O a6-1 A 6,224,Icy body,147,3893.7534,-L (Brown dwarf) Star-T (Brown dwarf) Star-,0,false,,,false
Carener,21.87,true,3,3,Carener C,1954,L (Brown dwarf) Star,316201,false,false,1,0.0535,293251.26636,292831.28640417295,Carener C,L (Brown dwarf) Star,9,316201,0.3078,V,934,1954,0.8717,Carener C 5,316536,Icy body,59,10603.0947,-K (Yellow-Orange) Star-K (Yellow-Orange) Star-L (Brown dwarf) Star-,1,false,,,false
Col 285 Sector DP-P a35-0,97.09,true,1,1,Col 285 Sector DP-P a35-0,1953,L (Brown dwarf) Star,0,false,false,0,,0,0,Col 285 Sector DP-P a35-0,L (Brown dwarf) Star,9,0,0.3003,V,4614,1953,0.3003,Col 285 Sector DP-P a35-0 7,2491,Icy body,20,6857.8276,-L (Brown dwarf) Star-,0,false,,,false
Dala,42.08,true,2,2,Dala B,1952,L (Brown dwarf) Star,240204,false,false,1,0.1225,192520.8695475,191070.9011895141,Dala B,L (Brown dwarf) Star,9,240204,0.2823,V,9362,1952,0.7859,Dala B 5 a,241570,Icy body,20,3577.1484,-K (Yellow-Orange) Star-L (Brown dwarf) Star-,1,false,,,false
Wolf 490,77.07,true,3,3,Wolf 490 B,1949,L (Brown dwarf) Star,719,false,false,2,0.0043,499.7535075,499.748887257466,Wolf 490 B,L (Brown dwarf) Star,9,719,0.3467,V,11582,1949,0.5322,Wolf 490 B 6 a,762,Rocky body,279,799.8252,-K (Yellow-Orange giant) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-,1,false,,,false
Sionesta,69.39,true,2,2,Sionesta A,1949,L (Brown dwarf) Star,0,false,false,1,0.0701,3837.1488480000003,3827.7093433582836,Sionesta A,L (Brown dwarf) Star,9,0,0.3426,V,6672,1949,0.3534,Sionesta A 7,335,Icy body,66,3111.0461,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,2206,Va,false
Piscium Sector DR-V b2-4,76.67,true,2,2,Piscium Sector DR-V b2-4 B,1947,L (Brown dwarf) Star,76396,false,false,1,0.1153,47752.483077000004,47434.008173227245,Piscium Sector DR-V b2-4 B,L (Brown dwarf) Star,9,76396,0.3412,V,5370,1947,0.5286,Piscium Sector DR-V b2-4 B 4 a,77207,Icy body,36,3190.7058,-M (Red dwarf) Star-L (Brown dwarf) Star-,0,true,2954,Va,false
Trianguli Sector HN-S a4-0,91.60,true,1,1,Trianguli Sector HN-S a4-0,1946,L (Brown dwarf) Star,0,false,false,0,,0,0,Trianguli Sector HN-S a4-0,L (Brown dwarf) Star,9,0,0.3286,V,12980,1946,0.3286,Trianguli Sector HN-S a4-0 6,1899,Icy body,21,6114.354,-L (Brown dwarf) Star-,0,false,,,false
LHS 512,57.21,true,2,2,LHS 512 B,1946,L (Brown dwarf) Star,98802,false,false,1,0.3161,100486.83247200001,95334.45828039829,LHS 512 B,L (Brown dwarf) Star,9,98802,0.3261,V,7016,1946,0.5503,LHS 512 B 3 d,99920,Icy body,32,546.4428,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,3146,V,false
Piscium Sector HS-S a4-0,88.21,true,1,1,Piscium Sector HS-S a4-0,1945,L (Brown dwarf) Star,0,false,false,0,,0,0,Piscium Sector HS-S a4-0,L (Brown dwarf) Star,9,0,0.345,V,9682,1945,0.345,Piscium Sector HS-S a4-0 7,2566,Icy body,20,5474.9512,-L (Brown dwarf) Star-,0,false,,,false
LHS 2725,74.11,true,2,2,LHS 2725 B,1942,L (Brown dwarf) Star,81026,false,false,1,0.1022,49214.467926000005,48956.7746468496,LHS 2725 B,L (Brown dwarf) Star,9,81026,0.3506,V,9340,1942,0.4896,LHS 2725 B 5,81757,Icy body,23,9157.3154,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,2749,V,false
Quikindji,96.99,true,3,3,Quikindji A,1939,L (Brown dwarf) Star,0,false,false,2,0.0057,245.5603605,245.55637133954144,Quikindji A,L (Brown dwarf) Star,9,0,0.3368,V,440,1939,0.3368,Quikindji A 6,100,Rocky Ice world,111,3459.9746,-L (Brown dwarf) Star-T (Brown dwarf) Star-L (Brown dwarf) Star-,1,false,,,false
Sedia,98.61,true,3,3,Sedia B,1937,L (Brown dwarf) Star,444855,false,false,2,0.1414,14351.982606,14207.781696805188,Sedia B,L (Brown dwarf) Star,9,444855,0.284,V,5162,1937,0.5807,Sedia B 6,444490,Icy body,29,7212.7251,-M (Red dwarf) Star-L (Brown dwarf) Star-T (Brown dwarf) Star-,1,true,3051,Va,false
NLTT 53690,70.94,true,2,2,NLTT 53690 B,1936,L (Brown dwarf) Star,1526,false,false,1,0.3397,1445.517684,1359.5583025888861,NLTT 53690 B,L (Brown dwarf) Star,9,1526,0.3656,V,6742,1936,0.5311,NLTT 53690 B 7,1554,High metal content world,230,3475.7549,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,3121,V,true
Alrai Sector EB-X b1-1,78.25,true,2,2,Alrai Sector EB-X b1-1 B,1935,L (Brown dwarf) Star,88880,false,false,1,0.1045,59992.42702050001,59663.961677408486,Alrai Sector EB-X b1-1 B,L (Brown dwarf) Star,9,88880,0.2827,V,10704,1935,0.5562,Alrai Sector EB-X b1-1 B 5,88488,Icy body,35,5291.542,-M (Red dwarf) Star-L (Brown dwarf) Star-,0,true,3158,Va,false
Aravaledi,78.67,true,2,2,Aravaledi B,1934,L (Brown dwarf) Star,52183,false,false,1,0.0876,37124.1256815,36981.410548459804,Aravaledi B,L (Brown dwarf) Star,9,52183,0.355,V,3526,1934,0.5898,Aravaledi B 6,51520,Icy body,44,12932.168,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,3099,Va,false
Togher,35.86,true,3,3,Togher C,1934,L (Brown dwarf) Star,99475,false,false,2,0.0202,12249.973944,12247.474449316476,Togher C,L (Brown dwarf) Star,9,99475,0.2939,V,9560,1934,0.8204,Togher C 5,99128,Icy body,81,7020.2163,-L (Brown dwarf) Star-M (Red dwarf) Star-K (Yellow-Orange) Star-,1,true,3297,Va,false
Sungai,75.53,true,1,1,Sungai,1932,L (Brown dwarf) Star,0,false,false,0,,0,0,Sungai,L (Brown dwarf) Star,9,0,0.3675,V,322,1932,0.3675,Sungai 11,1256,Class I gas giant,35,47843.9961,-L (Brown dwarf) Star-,1,false,,,false
Crucis Sector KN-K a8-2,97.38,true,1,1,Crucis Sector KN-K a8-2,1928,L (Brown dwarf) Star,0,false,false,0,,0,0,Crucis Sector KN-K a8-2,L (Brown dwarf) Star,9,0,0.2939,Vz,212,1928,0.2939,Crucis Sector KN-K a8-2 7,4469,Icy body,20,8323.8838,-L (Brown dwarf) Star-,0,false,,,false
LHS 2310,51.76,true,2,2,LHS 2310 B,1928,L (Brown dwarf) Star,201316,false,false,1,0.2222,142276.0560975,138719.3122930659,LHS 2310 B,L (Brown dwarf) Star,9,201316,0.3019,V,6408,1928,0.5681,LHS 2310 B 6,201415,Icy body,428,10194.249,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,3265,V,false
Col 285 Sector AJ-R a34-2,84.55,true,1,1,Col 285 Sector AJ-R a34-2,1927,L (Brown dwarf) Star,0,false,false,0,,0,0,Col 285 Sector AJ-R a34-2,L (Brown dwarf) Star,9,0,0.3109,V,9538,1927,0.3109,Col 285 Sector AJ-R a34-2 6,4132,Icy body,20,6298.8833,-L (Brown dwarf) Star-,0,false,,,false
Mikir,42.53,true,3,3,Mikir B,1926,L (Brown dwarf) Star,7085,false,false,2,0.1148,144.51184800000001,143.55642596060702,Mikir B,L (Brown dwarf) Star,9,7085,0.3005,V,1302,1926,0.5208,Mikir B 7,7135,High metal content world,178,1221.5339,-M (Red dwarf) Star-L (Brown dwarf) Star-T (Brown dwarf) Star-,1,true,2558,Va,false
LP 375-25,61.51,true,2,2,LP 375-25 B,1926,L (Brown dwarf) Star,507464,false,false,1,0.249,301802.3657415,292296.6429306602,LP 375-25 B,L (Brown dwarf) Star,9,507464,0.3081,V,5960,1926,0.5583,LP 375-25 B 6,508659,Class I gas giant,33,36268.2305,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,3225,V,false
Berzitibi,72.32,true,2,2,Berzitibi B,1926,L (Brown dwarf) Star,16805,false,false,1,0.0987,11616.5868975,11559.865825440673,Berzitibi B,L (Brown dwarf) Star,9,16805,0.3453,V,1030,1926,0.4638,Berzitibi B 4,17069,Gas giant with ammonia-based life,100,72617.0234,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,3223,Va,false
Col 285 Sector HC-Z b15-5,99.58,true,2,2,Col 285 Sector HC-Z b15-5 B,1924,L (Brown dwarf) Star,125551,false,false,1,0.2157,85354.5557475,83345.28233747526,Col 285 Sector HC-Z b15-5 B,L (Brown dwarf) Star,9,125551,0.3554,V,10202,1924,0.481,Col 285 Sector HC-Z b15-5 B 5 a,127850,Icy body,25,918.3837,-M (Red dwarf) Star-L (Brown dwarf) Star-,0,true,2899,Va,false
Core Sys Sector GH-M a7-3,44.17,true,1,1,Core Sys Sector GH-M a7-3,1921,L (Brown dwarf) Star,0,false,false,0,,0,0,Core Sys Sector GH-M a7-3,L (Brown dwarf) Star,9,0,0.3283,V,3938,1921,0.3283,Core Sys Sector GH-M a7-3 6 a,1427,Icy body,24,4033.7693,-L (Brown dwarf) Star-,0,false,,,false
Kungurutii,75.82,true,2,2,Kungurutii B,1919,L (Brown dwarf) Star,10918,false,false,1,0.1156,7430.1345495000005,7380.32179191336,Kungurutii B,L (Brown dwarf) Star,9,10918,0.3518,V,6104,1919,0.6442,Kungurutii B 6 a,11417,Icy body,56,1106.7061,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,3604,Va,false
Puppis Sector BV-Y b5,79.63,true,2,2,Puppis Sector BV-Y b5 B,1917,L (Brown dwarf) Star,309840,false,false,1,0.0618,176507.848998,176170.46363230518,Puppis Sector BV-Y b5 B,L (Brown dwarf) Star,9,309840,0.3179,V,3072,1917,0.4577,Puppis Sector BV-Y b5 B 5 a,309829,Icy body,30,1469.2617,-M (Red dwarf) Star-L (Brown dwarf) Star-,0,true,2602,Va,false
Alrai Sector IM-V b2-1,80.77,true,3,3,Alrai Sector IM-V b2-1 C,1916,L (Brown dwarf) Star,14123,false,false,1,0.1614,10745.0247645,10604.147516097106,Alrai Sector IM-V b2-1 C,L (Brown dwarf) Star,9,14123,0.3519,V,4742,1916,0.4078,Alrai Sector IM-V b2-1 C 7,14810,Icy body,38,6765.5947,-M (Red dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-,0,true,2616,Va,false
Ngeri,82.77,true,3,3,Ngeri B,1915,L (Brown dwarf) Star,490,false,false,2,0.2561,253.3448385,244.895862502742,Ngeri B,L (Brown dwarf) Star,9,490,0.3735,V,2572,1915,0.3735,Ngeri B 5,528,High metal content world,542,1164.7806,-M (Red dwarf) Star-L (Brown dwarf) Star-T (Brown dwarf) Star-,1,true,2241,Va,false
Hualarna,84.52,true,3,3,Hualarna C,1911,L (Brown dwarf) Star,2674,false,false,1,0.0771,2228.9056335,2222.270994581783,Hualarna C,L (Brown dwarf) Star,9,2674,0.3253,V,11052,1911,0.654,Hualarna C 6,2699,High metal content world,237,418.9855,-K (Yellow-Orange) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-,1,false,,,false
Trianguli Sector KN-S a4-0,96.61,true,1,1,Trianguli Sector KN-S a4-0,1905,L (Brown dwarf) Star,0,false,false,0,,0,0,Trianguli Sector KN-S a4-0,L (Brown dwarf) Star,9,0,0.3516,V,11206,1905,0.3516,Trianguli Sector KN-S a4-0 6,2068,Icy body,21,3752.6001,-L (Brown dwarf) Star-,0,false,,,false
Tascheter Sector CG-X b1-2,87.51,true,3,3,Tascheter Sector CG-X b1-2 C,1905,L (Brown dwarf) Star,254003,false,false,1,0.3173,144061.5957885,136617.24354075835,Tascheter Sector CG-X b1-2 C,L (Brown dwarf) Star,9,254003,0.3423,V,2928,1905,0.4319,Tascheter Sector CG-X b1-2 C 4 a,255549,Icy body,21,4093.5002,-M (Red dwarf) Star-M (Red dwarf) Star-L (Brown dwarf) Star-,0,true,2117,VI,false
ICZ AB-W b2-2,88.36,true,2,2,ICZ AB-W b2-2 B,1904,L (Brown dwarf) Star,183017,false,false,1,0.0439,107491.11615449999,107387.48722476154,ICZ AB-W b2-2 B,L (Brown dwarf) Star,9,183017,0.2951,V,11350,1904,0.4309,ICZ AB-W b2-2 B 5,181462,Icy body,23,5124.4102,-M (Red dwarf) Star-L (Brown dwarf) Star-,0,true,2463,Va,false
